parametre,source_table,candidats_geo,ambiguite_type,decision,confiance,justification
[multi],staging.raw_idp_2024_mesures_qualite_globale,infra.rejet_domestique:322:HFT_DOM_R2:rejet_domestique:0.000 || qualite.source_pollution_prelevement:80163078-e1b6-4309-8fe9-546bb2ef0c16:HFT_DOM_R2:point_pollution:0.000,rejet_vs_point_pollution_duplique,RATTACHEMENT_RECOMMANDE,FORTE,Le point de mesure qualite doit prioritairement se rattacher a `qualite.source_pollution_prelevement` ; le rejet infra reste l'entite source amont.
[multi],staging.raw_idp_2024_mesures_qualite_globale,infra.rejet_domestique:317:SAH_DOM1_R1:rejet_domestique:0.000 || qualite.source_pollution_prelevement:60cce4ea-41f1-48a0-b348-2979bcb52f00:SAH_DOM1_R1:point_pollution:0.000,rejet_vs_point_pollution_duplique,RATTACHEMENT_RECOMMANDE,FORTE,Le point de mesure qualite doit prioritairement se rattacher a `qualite.source_pollution_prelevement` ; le rejet infra reste l'entite source amont.
[multi],staging.raw_idp_2024_mesures_qualite_globale,infra.rejet_domestique:356:MSA_DOM1:rejet_domestique:0.000 || qualite.source_pollution_prelevement:6289e494-ea98-4bce-a513-a2cb1f3ae976:MSA_DOM1:point_pollution:0.000,rejet_vs_point_pollution_duplique,RATTACHEMENT_RECOMMANDE,FORTE,Le point de mesure qualite doit prioritairement se rattacher a `qualite.source_pollution_prelevement` ; le rejet infra reste l'entite source amont.
[multi],staging.raw_idp_2024_mesures_qualite_globale,infra.rejet_domestique:361:rejet_domestique:rejet_domestique:0.000 || qualite.source_pollution_prelevement:ac9987a5-5e00-44db-84a7-bf159aa27533:OHN_DOM_R1:point_pollution:0.000,rejet_vs_point_pollution_duplique,RATTACHEMENT_RECOMMANDE,FORTE,Le point de mesure qualite doit prioritairement se rattacher a `qualite.source_pollution_prelevement` ; le rejet infra reste l'entite source amont.
[multi],staging.raw_idp_2024_mesures_qualite_globale,infra.rejet_domestique:333:AID_DOM1_R4:rejet_domestique:0.000 || qualite.source_pollution_prelevement:424beca5-abf2-4db2-b225-ba1fa794c241:AID_DOM1_R4:point_pollution:0.000,rejet_vs_point_pollution_duplique,RATTACHEMENT_RECOMMANDE,FORTE,Le point de mesure qualite doit prioritairement se rattacher a `qualite.source_pollution_prelevement` ; le rejet infra reste l'entite source amont.
[multi],staging.raw_idp_2024_mesures_qualite_globale,infra.rejet_domestique:319:SAZ_DOM_R1:rejet_domestique:0.000 || qualite.source_pollution_prelevement:fe443c35-7251-4506-a1be-ce22109f0838:SAZ_DOM_R1:point_pollution:0.000,rejet_vs_point_pollution_duplique,RATTACHEMENT_RECOMMANDE,FORTE,Le point de mesure qualite doit prioritairement se rattacher a `qualite.source_pollution_prelevement` ; le rejet infra reste l'entite source amont.
[multi],staging.raw_idp_2024_mesures_qualite_globale,infra.rejet_domestique:307:SDK_DOM1_R2:rejet_domestique:0.000 || qualite.source_pollution_prelevement:bcd69398-645c-4989-86aa-86dfe79e807e:SDK_DOM1_R2:point_pollution:0.000,rejet_vs_point_pollution_duplique,RATTACHEMENT_RECOMMANDE,FORTE,Le point de mesure qualite doit prioritairement se rattacher a `qualite.source_pollution_prelevement` ; le rejet infra reste l'entite source amont.
[multi],staging.raw_idp_2024_mesures_qualite_globale,infra.rejet_domestique:320:SAZ_DOM_R2:rejet_domestique:0.000 || infra.step:38:SAZ_DOM_R2:step:0.000 || qualite.source_pollution_prelevement:b5d496e7-6c4c-45f7-9414-9ae2ac7c4291:SAZ_DOM_R2:point_pollution:0.000,rejet_vs_point_pollution_duplique,RATTACHEMENT_RECOMMANDE,FORTE,Le point de mesure qualite doit prioritairement se rattacher a `qualite.source_pollution_prelevement` ; le rejet infra reste l'entite source amont.
[multi],staging.raw_idp_2024_mesures_qualite_globale,infra.rejet_domestique:67:SJH_DOM1_R1:rejet_domestique:0.000 || qualite.source_pollution_prelevement:5481ccb0-fa5b-4186-91b4-2e9db75d423e:SJH_DOM1_R1 (EM):point_pollution:0.000,rejet_vs_point_pollution_duplique,RATTACHEMENT_RECOMMANDE,FORTE,Le point de mesure qualite doit prioritairement se rattacher a `qualite.source_pollution_prelevement` ; le rejet infra reste l'entite source amont.
[multi],staging.raw_idp_2024_mesures_qualite_globale,infra.rejet_domestique:45:AKA_PDOM1_R1:rejet_domestique:0.000 || qualite.source_pollution_prelevement:14190687-4e1f-4d41-a586-d28343d2b67a:AKA_PDOM1_R1:point_pollution:0.000,rejet_vs_point_pollution_duplique,RATTACHEMENT_RECOMMANDE,FORTE,Le point de mesure qualite doit prioritairement se rattacher a `qualite.source_pollution_prelevement` ; le rejet infra reste l'entite source amont.
[multi],staging.raw_idp_2024_mesures_qualite_globale,infra.rejet_abattoir:8:abattoir:rejet_abattoir:0.000 || qualite.source_pollution_prelevement:8d945cb4-e20c-4f73-9f4c-9448facf2515:REJET ABATTOIR AGOURAI:point_pollution:0.000,rejet_vs_point_pollution_duplique,RATTACHEMENT_RECOMMANDE,FORTE,Le point de mesure qualite doit prioritairement se rattacher a `qualite.source_pollution_prelevement` ; le rejet infra reste l'entite source amont.
[multi],staging.raw_idp_2024_mesures_qualite_globale,infra.rejet_domestique:315:AID_DOM1_R4:rejet_domestique:0.000 || qualite.source_pollution_prelevement:cd36b469-12c7-4ea5-a380-10d452913ba6:AID_DOM1_R4 (AIN DFALI):point_pollution:0.000,rejet_vs_point_pollution_duplique,RATTACHEMENT_RECOMMANDE,FORTE,Le point de mesure qualite doit prioritairement se rattacher a `qualite.source_pollution_prelevement` ; le rejet infra reste l'entite source amont.
[multi],staging.raw_idp_2024_mesures_qualite_globale,infra.rejet_domestique:39:DDZ_PDOM1_R1:rejet_domestique:0.000 || qualite.source_pollution_prelevement:68380ac7-f435-438d-bb11-403f9f704109:DDZ_PDOM1_R1:point_pollution:0.000,rejet_vs_point_pollution_duplique,RATTACHEMENT_RECOMMANDE,FORTE,Le point de mesure qualite doit prioritairement se rattacher a `qualite.source_pollution_prelevement` ; le rejet infra reste l'entite source amont.
[multi],staging.raw_idp_2024_mesures_qualite_globale,infra.rejet_domestique:328:JEM_DOM_R3:rejet_domestique:0.000 || qualite.source_pollution_prelevement:83d63ebe-6ecf-4a59-8966-55d005261dd0:JEM_DOM_R3:point_pollution:0.000,rejet_vs_point_pollution_duplique,RATTACHEMENT_RECOMMANDE,FORTE,Le point de mesure qualite doit prioritairement se rattacher a `qualite.source_pollution_prelevement` ; le rejet infra reste l'entite source amont.
[multi],staging.raw_idp_2024_mesures_qualite_globale,infra.rejet_domestique:302:JEM_DOM_R1:rejet_domestique:0.000 || qualite.source_pollution_prelevement:f765f66a-27c4-4820-9cf0-c8c70fd1eee9:JEM_DOM_R1:point_pollution:0.000,rejet_vs_point_pollution_duplique,RATTACHEMENT_RECOMMANDE,FORTE,Le point de mesure qualite doit prioritairement se rattacher a `qualite.source_pollution_prelevement` ; le rejet infra reste l'entite source amont.
[multi],staging.raw_idp_2024_mesures_qualite_globale,qualite.source_pollution_prelevement:bb68f7f7-4ffd-4f0b-bb50-8a4685fd4c86:REJET ABATTOIR MOULAY DRISS ZRHOUN:point_pollution:0.000 || infra.rejet_abattoir:18:abattoir:rejet_abattoir:0.374,rejet_vs_point_pollution_duplique,RATTACHEMENT_RECOMMANDE,FORTE,Le point de mesure qualite doit prioritairement se rattacher a `qualite.source_pollution_prelevement` ; le rejet infra reste l'entite source amont.
[multi],staging.raw_idp_2024_mesures_qualite_globale,infra.rejet_domestique:36:BFK_PDOM1_R1:rejet_domestique:0.000 || qualite.source_pollution_prelevement:ebf1b263-05be-4f1a-870c-bb551faa79a7:BFK_PDOM1_R1 (EM):point_pollution:0.000,rejet_vs_point_pollution_duplique,RATTACHEMENT_RECOMMANDE,FORTE,Le point de mesure qualite doit prioritairement se rattacher a `qualite.source_pollution_prelevement` ; le rejet infra reste l'entite source amont.
[multi],staging.raw_idp_2024_mesures_qualite_globale,infra.rejet_domestique:52:SMK_PDOM1_R2:rejet_domestique:0.000 || qualite.source_pollution_prelevement:8f9bc954-1498-4183-9bd7-03c269dd6633:SMK_PDOM1_R2:point_pollution:0.000,rejet_vs_point_pollution_duplique,RATTACHEMENT_RECOMMANDE,FORTE,Le point de mesure qualite doit prioritairement se rattacher a `qualite.source_pollution_prelevement` ; le rejet infra reste l'entite source amont.
[multi],staging.raw_idp_2024_mesures_qualite_globale,qualite.source_pollution_prelevement:f9dc00c2-20b1-41df-88b8-126b0db3afef:SDR_PDOM_R1:point_pollution:0.000 || infra.rejet_domestique:28:SDR_PDOM_R1:rejet_domestique:0.484,rejet_vs_point_pollution_duplique,RATTACHEMENT_RECOMMANDE,FORTE,Le point de mesure qualite doit prioritairement se rattacher a `qualite.source_pollution_prelevement` ; le rejet infra reste l'entite source amont.
[multi],staging.raw_idp_2024_mesures_qualite_globale,infra.rejet_domestique:180:MKS_DOM_R1:rejet_domestique:0.000 || qualite.source_pollution_prelevement:bb98b07e-942b-4aa5-8613-96be4f1d54af:MKS_DOM_R1:point_pollution:0.000,rejet_vs_point_pollution_duplique,RATTACHEMENT_RECOMMANDE,FORTE,Le point de mesure qualite doit prioritairement se rattacher a `qualite.source_pollution_prelevement` ; le rejet infra reste l'entite source amont.
[multi],staging.raw_idp_2024_mesures_qualite_globale,infra.rejet_abattoir:23:abattoir:rejet_abattoir:0.000 || qualite.source_pollution_prelevement:cbd47ce5-5f32-4fb2-85a7-1c6db850bdea:REJET ABATTOIR SIDI REDOUANE:point_pollution:0.000,rejet_vs_point_pollution_duplique,RATTACHEMENT_RECOMMANDE,FORTE,Le point de mesure qualite doit prioritairement se rattacher a `qualite.source_pollution_prelevement` ; le rejet infra reste l'entite source amont.
[multi],staging.raw_idp_2024_mesures_qualite_globale,infra.rejet_abattoir:39:abattoir:rejet_abattoir:0.000 || qualite.source_pollution_prelevement:38f36bb3-ea36-4452-aaa4-aaabe83cd312:MKS_DOM_R2:point_pollution:0.000,rejet_vs_point_pollution_duplique,RATTACHEMENT_RECOMMANDE,FORTE,Le point de mesure qualite doit prioritairement se rattacher a `qualite.source_pollution_prelevement` ; le rejet infra reste l'entite source amont.
[multi],staging.raw_idp_2024_mesures_qualite_globale,infra.rejet_domestique:57:_PDOM1_R1:rejet_domestique:0.000 || qualite.source_pollution_prelevement:ae4cef62-dd30-481a-a2af-e71f50107e1b:NBA_PDOM1_R1:point_pollution:0.000,rejet_vs_point_pollution_duplique,RATTACHEMENT_RECOMMANDE,FORTE,Le point de mesure qualite doit prioritairement se rattacher a `qualite.source_pollution_prelevement` ; le rejet infra reste l'entite source amont.
[multi],staging.raw_idp_2024_mesures_qualite_globale,infra.rejet_domestique:53:CHQ_DOM_R1:rejet_domestique:0.000 || qualite.source_pollution_prelevement:19dcacad-6a38-4cfc-b1cb-7b798d4be1af:CHQ_DOM_R1:point_pollution:0.000,rejet_vs_point_pollution_duplique,RATTACHEMENT_RECOMMANDE,FORTE,Le point de mesure qualite doit prioritairement se rattacher a `qualite.source_pollution_prelevement` ; le rejet infra reste l'entite source amont.
[multi],staging.raw_idp_2024_mesures_qualite_globale,infra.rejet_domestique:54:CHQ_DOM_R2:rejet_domestique:0.000 || qualite.source_pollution_prelevement:5d7f87d9-e866-4f98-a2ae-d7d34dd054a6:CHQ_DOM_R2:point_pollution:0.000,rejet_vs_point_pollution_duplique,RATTACHEMENT_RECOMMANDE,FORTE,Le point de mesure qualite doit prioritairement se rattacher a `qualite.source_pollution_prelevement` ; le rejet infra reste l'entite source amont.
[multi],staging.raw_idp_2024_mesures_qualite_globale,infra.rejet_domestique:63:SBA_DOM1_R1:rejet_domestique:0.000 || qualite.source_pollution_prelevement:4590efdb-62b4-424a-9af1-5ddb27f135cf:SBA_DOM1_R1 (EM):point_pollution:0.000,rejet_vs_point_pollution_duplique,RATTACHEMENT_RECOMMANDE,FORTE,Le point de mesure qualite doit prioritairement se rattacher a `qualite.source_pollution_prelevement` ; le rejet infra reste l'entite source amont.
[multi],staging.raw_idp_2024_mesures_qualite_globale,infra.rejet_abattoir:22:abattoir:rejet_abattoir:0.000 || qualite.source_pollution_prelevement:7058ae42-6d16-46f2-8470-0dd46cb63675:REJET ABATTOIR SIDI BOUSBER:point_pollution:0.000,rejet_vs_point_pollution_duplique,RATTACHEMENT_RECOMMANDE,FORTE,Le point de mesure qualite doit prioritairement se rattacher a `qualite.source_pollution_prelevement` ; le rejet infra reste l'entite source amont.
[multi],staging.raw_idp_2024_mesures_qualite_globale,infra.rejet_abattoir:21:abattoir:rejet_abattoir:0.000 || qualite.source_pollution_prelevement:6f66f22a-c742-4a7d-b4a5-e00530294f0f:REJET ABATTOIR MOQRISSET:point_pollution:0.000,rejet_vs_point_pollution_duplique,RATTACHEMENT_RECOMMANDE,FORTE,Le point de mesure qualite doit prioritairement se rattacher a `qualite.source_pollution_prelevement` ; le rejet infra reste l'entite source amont.
[multi],staging.raw_idp_2024_mesures_qualite_globale,infra.rejet_abattoir:24:abattoir:rejet_abattoir:0.000 || qualite.source_pollution_prelevement:f39dbc5d-bb71-4d66-ac2b-612444590e87:REJET ABATTOIR ZOUMI:point_pollution:0.000,rejet_vs_point_pollution_duplique,RATTACHEMENT_RECOMMANDE,FORTE,Le point de mesure qualite doit prioritairement se rattacher a `qualite.source_pollution_prelevement` ; le rejet infra reste l'entite source amont.
[multi],staging.raw_idp_2024_mesures_qualite_globale,infra.rejet_domestique:87:ALH_PDOM1_R4:rejet_domestique:0.000 || qualite.source_pollution_prelevement:593b215a-7fe7-4a52-9039-f52fdd3bdf09:ALH_PDOM1_R4 (E.M):point_pollution:0.000,rejet_vs_point_pollution_duplique,RATTACHEMENT_RECOMMANDE,FORTE,Le point de mesure qualite doit prioritairement se rattacher a `qualite.source_pollution_prelevement` ; le rejet infra reste l'entite source amont.
[multi],staging.raw_idp_2024_mesures_qualite_globale,qualite.source_pollution_prelevement:fc479f3c-ea4d-4341-b6f6-984dd4b9d6ea:ZOM_PDOM_R1:point_pollution:0.000 || infra.rejet_domestique:34:ZOM_PDOM_R1:rejet_domestique:0.863,rejet_vs_point_pollution_duplique,RATTACHEMENT_RECOMMANDE,FORTE,Le point de mesure qualite doit prioritairement se rattacher a `qualite.source_pollution_prelevement` ; le rejet infra reste l'entite source amont.
[multi],staging.raw_idp_2024_mesures_qualite_globale,infra.rejet_domestique:82:AZR_PDOM1_R1:rejet_domestique:0.000 || qualite.source_pollution_prelevement:0ddbb99e-5240-4673-a4f0-0ae29e66db87:AZR_PDOM1_R1:point_pollution:0.000,rejet_vs_point_pollution_duplique,RATTACHEMENT_RECOMMANDE,FORTE,Le point de mesure qualite doit prioritairement se rattacher a `qualite.source_pollution_prelevement` ; le rejet infra reste l'entite source amont.
[multi],staging.raw_idp_2024_mesures_qualite_globale,infra.stations:39:sidi mokhfi:station:0.000 || infra.stations_mesure:d40d82f6-462c-4c03-a6bd-b8555f5a33d1:sidi mokhfi:station:0.002,station_vs_station_mesure_duplique,RATTACHEMENT_RECOMMANDE,FORTE,"Le point doit se rattacher a `infra.stations_mesure`, plus proche du besoin de mesure, `infra.stations` restant la couche station historique."
[multi],staging.raw_idp_2024_mesures_qualite_globale,infra.rejet_abattoir:25:abattoir:rejet_abattoir:0.000 || qualite.source_pollution_prelevement:58dcd154-ab7e-457c-9fe4-e6566f561dad:LMJ_DOM_R2:point_pollution:0.000,rejet_vs_point_pollution_duplique,RATTACHEMENT_RECOMMANDE,FORTE,Le point de mesure qualite doit prioritairement se rattacher a `qualite.source_pollution_prelevement` ; le rejet infra reste l'entite source amont.
[multi],staging.raw_idp_2024_mesures_qualite_globale,infra.rejet_domestique:89:BSM_PDOM1_R2:rejet_domestique:0.000 || qualite.source_pollution_prelevement:b6b06ea1-598a-41eb-bec1-b44bc4e2430b:BSM_PDOM1_R2 (EM):point_pollution:0.000,rejet_vs_point_pollution_duplique,RATTACHEMENT_RECOMMANDE,FORTE,Le point de mesure qualite doit prioritairement se rattacher a `qualite.source_pollution_prelevement` ; le rejet infra reste l'entite source amont.
[multi],staging.raw_idp_2024_mesures_qualite_globale,infra.rejet_domestique:359:rejet_domestique:rejet_domestique:0.000 || qualite.source_pollution_prelevement:af9c052e-852f-4cf6-b6b4-5e78c9b737bc:MBC_DOM_R1:point_pollution:0.000,rejet_vs_point_pollution_duplique,RATTACHEMENT_RECOMMANDE,FORTE,Le point de mesure qualite doit prioritairement se rattacher a `qualite.source_pollution_prelevement` ; le rejet infra reste l'entite source amont.
[multi],staging.raw_idp_2024_mesures_qualite_globale,infra.rejet_domestique:173:KSN_DOM_R1:rejet_domestique:0.000 || qualite.source_pollution_prelevement:66aa0ca6-25f5-4ea0-8f1b-2e6d419e11a6:KSN_DOM_R1:point_pollution:0.000,rejet_vs_point_pollution_duplique,RATTACHEMENT_RECOMMANDE,FORTE,Le point de mesure qualite doit prioritairement se rattacher a `qualite.source_pollution_prelevement` ; le rejet infra reste l'entite source amont.
[multi],staging.raw_idp_2024_mesures_qualite_globale,infra.rejet_abattoir:61:abattoir:rejet_abattoir:0.000 || qualite.source_pollution_prelevement:243b5454-4c5f-45f0-9f61-5c2f387d427f:OMN_DOM_R2:point_pollution:0.000,rejet_vs_point_pollution_duplique,RATTACHEMENT_RECOMMANDE,FORTE,Le point de mesure qualite doit prioritairement se rattacher a `qualite.source_pollution_prelevement` ; le rejet infra reste l'entite source amont.
[multi],staging.raw_idp_2024_mesures_qualite_globale,infra.rejet_domestique:123:IMK_DOM_R3:rejet_domestique:0.000 || qualite.source_pollution_prelevement:b18ce074-6b9b-46a1-9ff9-c6dd7e0212c6:IMK_DOM_R3:point_pollution:0.000,rejet_vs_point_pollution_duplique,RATTACHEMENT_RECOMMANDE,FORTE,Le point de mesure qualite doit prioritairement se rattacher a `qualite.source_pollution_prelevement` ; le rejet infra reste l'entite source amont.
[multi],staging.raw_idp_2024_mesures_qualite_globale,infra.rejet_domestique:176:ORG_DOM_R2:rejet_domestique:0.000 || qualite.source_pollution_prelevement:6db47a20-a0c9-494e-9713-0de4c29e0f03:ORG_DOM_R2:point_pollution:0.000,rejet_vs_point_pollution_duplique,RATTACHEMENT_RECOMMANDE,FORTE,Le point de mesure qualite doit prioritairement se rattacher a `qualite.source_pollution_prelevement` ; le rejet infra reste l'entite source amont.
[multi],staging.raw_idp_2024_mesures_qualite_globale,infra.rejet_abattoir:58:abattoir:rejet_abattoir:0.000 || qualite.source_pollution_prelevement:9b2be06e-4ed8-44f7-ac49-daff457e5121:LOJ_DOM_R1:point_pollution:0.000,rejet_vs_point_pollution_duplique,RATTACHEMENT_RECOMMANDE,FORTE,Le point de mesure qualite doit prioritairement se rattacher a `qualite.source_pollution_prelevement` ; le rejet infra reste l'entite source amont.
[multi],staging.raw_idp_2024_mesures_qualite_globale,infra.rejet_domestique:246:LOD_DOM_R1:rejet_domestique:0.000 || qualite.source_pollution_prelevement:10df2245-7f17-478b-9ef3-252d0a4b8f90:LOD_DOM_R1:point_pollution:0.000,rejet_vs_point_pollution_duplique,RATTACHEMENT_RECOMMANDE,FORTE,Le point de mesure qualite doit prioritairement se rattacher a `qualite.source_pollution_prelevement` ; le rejet infra reste l'entite source amont.
[multi],staging.raw_idp_2024_mesures_qualite_globale,infra.rejet_domestique:11:BBR-PDS_R4:rejet_domestique:0.000 || qualite.source_pollution_prelevement:eece9f84-ecb9-4058-9a0b-c2369ba40783:BBR_PDS_R4 (E.M):point_pollution:0.000 || infra.rejet_domestique:10:BBR-PDS_R3:rejet_domestique:2.000,rejet_vs_point_pollution_duplique,RATTACHEMENT_RECOMMANDE,FORTE,Le point de mesure qualite doit prioritairement se rattacher a `qualite.source_pollution_prelevement` ; le rejet infra reste l'entite source amont.
[multi],staging.raw_idp_2024_mesures_qualite_globale,infra.stations:330:source ammes dechquonda:station:0.000 || infra.stations_mesure:7fe59c88-d667-42c0-8b3b-865831737e65:source ammes dechquonda:station:0.002,station_vs_station_mesure_duplique,RATTACHEMENT_RECOMMANDE,FORTE,"Le point doit se rattacher a `infra.stations_mesure`, plus proche du besoin de mesure, `infra.stations` restant la couche station historique."
[multi],staging.raw_idp_2024_mesures_qualite_globale,infra.rejet_domestique:74:SHZ_DOM2_R4:rejet_domestique:0.000 || qualite.source_pollution_prelevement:bd26d42a-8f15-4669-b71f-dffd45c0193a:SHZ_DOM2_R4:point_pollution:0.000,rejet_vs_point_pollution_duplique,RATTACHEMENT_RECOMMANDE,FORTE,Le point de mesure qualite doit prioritairement se rattacher a `qualite.source_pollution_prelevement` ; le rejet infra reste l'entite source amont.
[multi],staging.raw_idp_2024_mesures_qualite_globale,infra.rejet_domestique:80:SHZ_DOM2_R3:rejet_domestique:0.000 || qualite.source_pollution_prelevement:7d2f0428-9461-4664-bea5-e38107218ddb:SHZ_DOM2_R3:point_pollution:0.000,rejet_vs_point_pollution_duplique,RATTACHEMENT_RECOMMANDE,FORTE,Le point de mesure qualite doit prioritairement se rattacher a `qualite.source_pollution_prelevement` ; le rejet infra reste l'entite source amont.
[multi],staging.raw_idp_2024_mesures_qualite_globale,infra.rejet_domestique:81:SHZ_DOM2_R5:rejet_domestique:0.000 || qualite.source_pollution_prelevement:00b3ba35-2eb5-4596-a4ae-4d228db49e29:SHZ_DOM2_R5:point_pollution:0.000,rejet_vs_point_pollution_duplique,RATTACHEMENT_RECOMMANDE,FORTE,Le point de mesure qualite doit prioritairement se rattacher a `qualite.source_pollution_prelevement` ; le rejet infra reste l'entite source amont.
[multi],staging.raw_idp_2024_mesures_qualite_globale,infra.rejet_domestique:243:AKA_DOM_R1:rejet_domestique:0.000 || qualite.source_pollution_prelevement:e704042d-843c-4e18-abc8-028b8e0b28a6:AKA_DOM_R1:point_pollution:0.000,rejet_vs_point_pollution_duplique,RATTACHEMENT_RECOMMANDE,FORTE,Le point de mesure qualite doit prioritairement se rattacher a `qualite.source_pollution_prelevement` ; le rejet infra reste l'entite source amont.
[multi],staging.raw_idp_2024_mesures_qualite_globale,infra.rejet_domestique:73:SHZ_DOM5_R1:rejet_domestique:0.000 || qualite.source_pollution_prelevement:7689d507-8b7c-4b6c-bc58-a8b6766991fb:SHZ_DOM5_R1:point_pollution:0.000,rejet_vs_point_pollution_duplique,RATTACHEMENT_RECOMMANDE,FORTE,Le point de mesure qualite doit prioritairement se rattacher a `qualite.source_pollution_prelevement` ; le rejet infra reste l'entite source amont.
[multi],staging.raw_idp_2024_mesures_qualite_globale,infra.rejet_abattoir:4:abattoir:rejet_abattoir:0.000 || qualite.source_pollution_prelevement:03299489-8e2e-45f0-88dc-0182a20ab9b2:REJET ABATTOIR GUIGOU:point_pollution:0.000,rejet_vs_point_pollution_duplique,RATTACHEMENT_RECOMMANDE,FORTE,Le point de mesure qualite doit prioritairement se rattacher a `qualite.source_pollution_prelevement` ; le rejet infra reste l'entite source amont.
