source_document,page_pdf,type_eau,parametre_pdf,parametre_canonique_propose,unite_pdf,classe_1_libelle,classe_1_min,classe_1_max,classe_2_libelle,classe_2_min,classe_2_max,classe_3_libelle,classe_3_min,classe_3_max,classe_4_libelle,classe_4_min,classe_4_max,classe_5_libelle,classe_5_min,classe_5_max,sens_interpretation,commentaire_extraction,statut_validation
Système d'evaluation de la Qualité des ressources en eau.pdf,12,eaux de rivières,Magnésium,Magnésium,mg/l,Excellente,"0,05",50,Bonne,50,75,Moyenne,75,100,Mauvaise,100,400,Très mauvaise,400,1200,plus petit = meilleur,,à valider
Système d'evaluation de la Qualité des ressources en eau.pdf,12,eaux de rivières,Sodium,Sodium,mg/l,Excellente,"0,5",200,Bonne,,,Moyenne,,,Mauvaise,200,7300,Très mauvaise,,,plus petit = meilleur,"classes bonne, moyenne et très mauvaise non indiquées",à valider
Système d'evaluation de la Qualité des ressources en eau.pdf,12,eaux de rivières,MES,MES,mg/l,Excellente,0,50,Bonne,50,200,Moyenne,200,1000,Mauvaise,1000,2000,Très mauvaise,2000,10000,plus petit = meilleur,,à valider
Système d'evaluation de la Qualité des ressources en eau.pdf,12,eaux de rivières,C. fécaux,Coliformes fécaux,/100ml,Excellente,0,20,Bonne,20,2000,Moyenne,2000,20000,Mauvaise,20000,50000,Très mauvaise,,,plus petit = meilleur,classe très mauvaise non indiquée,à valider
Système d'evaluation de la Qualité des ressources en eau.pdf,12,eaux de rivières,C. totaux,Coliformes totaux,/100ml,Excellente,0,50,Bonne,50,5000,Moyenne,5000,50000,Mauvaise,50000,100000,Très mauvaise,,,plus petit = meilleur,classe très mauvaise non indiquée,à valider
Système d'evaluation de la Qualité des ressources en eau.pdf,12,eaux de rivières,S. fécaux,Streptocoques fécaux,/100ml,Excellente,0,20,Bonne,20,1000,Moyenne,1000,10000,Mauvaise,10000,20000,Très mauvaise,,,plus petit = meilleur,classe très mauvaise non indiquée,à valider
Système d'evaluation de la Qualité des ressources en eau.pdf,13,eaux de lacs,Température,Température,°C,Excellente,0,20,Bonne,20,25,Moyenne,25,30,Mauvaise,30,35,Très mauvaise,35,40,intervalle optimal,,à valider
Système d'evaluation de la Qualité des ressources en eau.pdf,13,eaux de lacs,pH,pH,,Excellente,"6,5","8,5",Bonne,,,Moyenne,"8,5","9,2",Mauvaise,,,Très mauvaise,,,intervalle optimal,tableau simplifié avec cellules vides pour certaines classes,à valider
Système d'evaluation de la Qualité des ressources en eau.pdf,13,eaux de lacs,O2 dissous,O2 dissous,mg/l,Excellente,7,16,Bonne,5,7,Moyenne,3,7,Mauvaise,1,3,Très mauvaise,0,1,plus grand = meilleur,,à valider
Système d'evaluation de la Qualité des ressources en eau.pdf,13,eaux de lacs,Ammonium,Ammonium,mg/l,Excellente,0,"0,1",Bonne,"0,1","0,5",Moyenne,"0,5",2,Mauvaise,2,8,Très mauvaise,8,250,plus petit = meilleur,,à valider
Système d'evaluation de la Qualité des ressources en eau.pdf,13,eaux de lacs,NTK,NTK,mg N/l,Excellente,0,1,Bonne,1,2,Moyenne,2,3,Mauvaise,3,380,Très mauvaise,,,plus petit = meilleur,classe très mauvaise non indiquée,à valider
Système d'evaluation de la Qualité des ressources en eau.pdf,13,eaux de lacs,Nitrates,Nitrates,mg/l,Excellente,0,10,Bonne,10,25,Moyenne,25,50,Mauvaise,50,300,Très mauvaise,,,plus petit = meilleur,classe très mauvaise non indiquée,à valider
Système d'evaluation de la Qualité des ressources en eau.pdf,13,eaux de lacs,Orthophosphates (PO4³-),Orthophosphates,mg/l,Excellente,0,"0,2",Bonne,"0,2","0,5",Moyenne,"0,5",1,Mauvaise,1,5,Très mauvaise,5,60,plus petit = meilleur,,à valider
Système d'evaluation de la Qualité des ressources en eau.pdf,13,eaux de lacs,P.total,P total,mg/l,Excellente,0,"0,1",Bonne,"0,1","0,3",Moyenne,"0,3","0,5",Mauvaise,"0,5",3,Très mauvaise,3,130,plus petit = meilleur,,à valider
Système d'evaluation de la Qualité des ressources en eau.pdf,13,eaux de lacs,CE 20°c,Conductivité,µs/cm,Excellente,"0,5",750,Bonne,750,1300,Moyenne,1300,2700,Mauvaise,2700,3000,Très mauvaise,3000,20500,plus petit = meilleur,,à valider
Système d'evaluation de la Qualité des ressources en eau.pdf,13,eaux de lacs,Sulfates,Sulfates,mg/l,Excellente,0,100,Bonne,100,-200,Moyenne,200,250,Mauvaise,250,400,Très mauvaise,400,3000,plus petit = meilleur,classe bonne lue visuellement comme 100--200,à valider
Système d'evaluation de la Qualité des ressources en eau.pdf,13,eaux de lacs,MES,MES,mg/l,Excellente,0,50,Bonne,50,200,Moyenne,200,1000,Mauvaise,1000,2000,Très mauvaise,2000,10000,plus petit = meilleur,,à valider
Système d'evaluation de la Qualité des ressources en eau.pdf,13,eaux de lacs,C. fécaux,Coliformes fécaux,/100ml,Excellente,0,20,Bonne,20,2000,Moyenne,2000,20000,Mauvaise,20000,25.10⁶,Très mauvaise,,,plus petit = meilleur,notation scientifique à confirmer,à valider
Système d'evaluation de la Qualité des ressources en eau.pdf,13,eaux de lacs,C. totaux,Coliformes totaux,/100ml,Excellente,0,50,Bonne,50,5000,Moyenne,5000,50000,Mauvaise,50000,15.10⁷,Très mauvaise,,,plus petit = meilleur,notation scientifique à confirmer,à valider
Système d'evaluation de la Qualité des ressources en eau.pdf,13,eaux de lacs,S. fécaux,Streptocoques fécaux,/100ml,Excellente,0,20,Bonne,20,1000,Moyenne,1000,10000,Mauvaise,10000,25.10⁶,Très mauvaise,,,plus petit = meilleur,notation scientifique à confirmer,à valider
Système d'evaluation de la Qualité des ressources en eau.pdf,13,eaux de lacs,Chlorophylle a,Chlorophylle a,µg/l,Excellente,0,"2,5",Bonne,"2,5",10,Moyenne,10,30,Mauvaise,30,110,Très mauvaise,110,350,plus petit = meilleur,,à valider
Système d'evaluation de la Qualité des ressources en eau.pdf,14,eaux souterraines,Température,Température,°C,Excellente,0,20,Bonne,20,25,Moyenne,25,30,Mauvaise,30,35,Très mauvaise,35,40,intervalle optimal,,à valider
Système d'evaluation de la Qualité des ressources en eau.pdf,14,eaux souterraines,pH,pH,,Excellente,"6,5","8,5",Bonne,,,Moyenne,"8,5","9,2",Mauvaise,,,Très mauvaise,,,intervalle optimal,tableau simplifié avec cellules vides pour certaines classes,à valider
Système d'evaluation de la Qualité des ressources en eau.pdf,14,eaux souterraines,Oxydabilité KMnO4,Oxydabilité KMnO4,mg/l,Excellente,0,2,Bonne,2,5,Moyenne,5,10,Mauvaise,10,60,Très mauvaise,,,plus petit = meilleur,classe très mauvaise non indiquée,à valider
Système d'evaluation de la Qualité des ressources en eau.pdf,14,eaux souterraines,Ammonium,Ammonium,mgNH4+,Excellente,0,"0,1",Bonne,"0,1","0,5",Moyenne,"0,5",2,Mauvaise,2,8,Très mauvaise,8,250,plus petit = meilleur,,à valider
Système d'evaluation de la Qualité des ressources en eau.pdf,14,eaux souterraines,Nitrates,Nitrates,mg/l,Excellente,0,10,Bonne,10,25,Moyenne,25,50,Mauvaise,50,300,Très mauvaise,,,plus petit = meilleur,classe très mauvaise non indiquée,à valider
Système d'evaluation de la Qualité des ressources en eau.pdf,14,eaux souterraines,CE 20°c,Conductivité,µs/cm,Excellente,"0,5",750,Bonne,750,1300,Moyenne,1300,2700,Mauvaise,2700,3000,Très mauvaise,3000,20500,plus petit = meilleur,,à valider
Système d'evaluation de la Qualité des ressources en eau.pdf,14,eaux souterraines,Chlorures,Chlorures,mg/l,Excellente,1,200,Bonne,200,300,Moyenne,300,750,Mauvaise,750,1000,Très mauvaise,1000,7000,plus petit = meilleur,,à valider
Système d'evaluation de la Qualité des ressources en eau.pdf,14,eaux souterraines,Sulfates,Sulfates,mg/l,Excellente,0,100,Bonne,100,-200,Moyenne,200,250,Mauvaise,250,400,Très mauvaise,400,3000,plus petit = meilleur,classe bonne lue visuellement comme 100--200,à valider
Système d'evaluation de la Qualité des ressources en eau.pdf,14,eaux souterraines,Calcium,Calcium,mg/l,Excellente,31,160,Bonne,,,Moyenne,,,Mauvaise,,,Très mauvaise,,,intervalle optimal,"classe mauvaise notée 1-31 ou 60-1500, à confirmer",à valider
Système d'evaluation de la Qualité des ressources en eau.pdf,14,eaux souterraines,Magnésium,Magnésium,mg/l,Excellente,"0,05",50,Bonne,50,75,Moyenne,75,100,Mauvaise,100,400,Très mauvaise,400,1200,plus petit = meilleur,,à valider
Système d'evaluation de la Qualité des ressources en eau.pdf,14,eaux souterraines,Sodium,Sodium,mg/l,Excellente,"0,5",200,Bonne,,,Moyenne,,,Mauvaise,200,7300,Très mauvaise,,,plus petit = meilleur,"classes bonne, moyenne et très mauvaise non indiquées",à valider
Système d'evaluation de la Qualité des ressources en eau.pdf,14,eaux souterraines,Manganèse,Manganèse,mg/l,Excellente,0,"0,1",Bonne,"0,1","0,5",Moyenne,"0,5",1,Mauvaise,1,12,Très mauvaise,,,plus petit = meilleur,classe très mauvaise non indiquée,à valider
Système d'evaluation de la Qualité des ressources en eau.pdf,14,eaux souterraines,Fer total,Fer total,mg/l,Excellente,"0,01","0,5",Bonne,"0,5",1,Moyenne,1,2,Mauvaise,2,5,Très mauvaise,5,15,plus petit = meilleur,,à valider
Système d'evaluation de la Qualité des ressources en eau.pdf,14,eaux souterraines,C. fécaux,Coliformes fécaux,/100ml,Excellente,0,20,Bonne,20,2000,Moyenne,2000,20000,Mauvaise,20000,25.10⁶,Très mauvaise,,,plus petit = meilleur,notation scientifique à confirmer,à valider
Système d'evaluation de la Qualité des ressources en eau.pdf,14,eaux souterraines,C. totaux,Coliformes totaux,/100ml,Excellente,0,50,Bonne,50,5000,Moyenne,5000,50000,Mauvaise,50000,15.10⁷,Très mauvaise,,,plus petit = meilleur,notation scientifique à confirmer,à valider
Système d'evaluation de la Qualité des ressources en eau.pdf,14,eaux souterraines,S. fécaux,Streptocoques fécaux,/100ml,Excellente,0,20,Bonne,20,1000,Moyenne,1000,10000,Mauvaise,10000,25.10⁶,Très mauvaise,,,plus petit = meilleur,notation scientifique à confirmer,à valider
