source_document,page_pdf,tableau_pdf,type_eau,milieu,parametre_pdf,parametre_code_propose,parametre_libelle_propose,famille_parametre,unite_pdf,classe_qualite,borne_min,operateur_min,borne_max,operateur_max,valeur_intervalle_originale,couleur_classe,indice_min,indice_max,confiance_extraction,commentaire_validation
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Sulfates (SO4-),SO4,Sulfates,mineralisation,mg/l,moyenne,200,>=,250,<=,200-250,orange/jaune,40,60,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Sulfates (SO4-),SO4,Sulfates,mineralisation,mg/l,mauvaise,250,>=,400,<=,250-400,rouge/violet,20,40,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Sulfates (SO4-),SO4,Sulfates,mineralisation,mg/l,tres_mauvaise,400,>,,,>400,violet/rouge,0,20,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,MES,MES,MES,matieres_en_suspension,mg/l,excellente,,,,,50,bleu,80,100,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,MES,MES,MES,matieres_en_suspension,mg/l,bonne,50,>=,200,<=,50-200,vert,60,80,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,MES,MES,MES,matieres_en_suspension,mg/l,moyenne,200,>=,1000,<=,200-1000,orange/jaune,40,60,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,MES,MES,MES,matieres_en_suspension,mg/l,mauvaise,1000,>=,2000,<=,1000-2000,rouge/violet,20,40,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,MES,MES,MES,matieres_en_suspension,mg/l,tres_mauvaise,2000,>,,,>2000,violet/rouge,0,20,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,O2 dissous,O2_DISSOUS,O2 dissous,oxygene_matiere_organique,mg/l,excellente,7,>,,,>7,bleu,80,100,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,O2 dissous,O2_DISSOUS,O2 dissous,oxygene_matiere_organique,mg/l,bonne,7,>=,5,<=,7-5,vert,60,80,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,O2 dissous,O2_DISSOUS,O2 dissous,oxygene_matiere_organique,mg/l,moyenne,5,>=,3,<=,5-3,orange/jaune,40,60,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,O2 dissous,O2_DISSOUS,O2 dissous,oxygene_matiere_organique,mg/l,mauvaise,3,>=,1,<=,3-1,rouge/violet,20,40,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,O2 dissous,O2_DISSOUS,O2 dissous,oxygene_matiere_organique,mg/l,tres_mauvaise,,,,,1,violet/rouge,0,20,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,DBO 5,DBO5,DBO5,oxygene_matiere_organique,mg/l,excellente,,,,,3,bleu,80,100,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,DBO 5,DBO5,DBO5,oxygene_matiere_organique,mg/l,bonne,3,>=,5,<=,3-5,vert,60,80,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,DBO 5,DBO5,DBO5,oxygene_matiere_organique,mg/l,moyenne,5,>=,10,<=,5-10,orange/jaune,40,60,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,DBO 5,DBO5,DBO5,oxygene_matiere_organique,mg/l,mauvaise,10,>=,25,<=,10-25,rouge/violet,20,40,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,DBO 5,DBO5,DBO5,oxygene_matiere_organique,mg/l,tres_mauvaise,25,>,,,>25,violet/rouge,0,20,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,DCO,DCO,DCO,oxygene_matiere_organique,mg/l,excellente,,,,,30,bleu,80,100,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,DCO,DCO,DCO,oxygene_matiere_organique,mg/l,bonne,30,>=,35,<=,30-35,vert,60,80,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,DCO,DCO,DCO,oxygene_matiere_organique,mg/l,moyenne,35,>=,40,<=,35-40,orange/jaune,40,60,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,DCO,DCO,DCO,oxygene_matiere_organique,mg/l,mauvaise,40,>=,80,<=,40-80,rouge/violet,20,40,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,DCO,DCO,DCO,oxygene_matiere_organique,mg/l,tres_mauvaise,80,>,,,>80,violet/rouge,0,20,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Oxydabilité KMnO4,OXYDABILITE_KMNO4,Oxydabilité KMnO4,oxygene_matiere_organique,mg/l,excellente,,,,,2,bleu,80,100,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Oxydabilité KMnO4,OXYDABILITE_KMNO4,Oxydabilité KMnO4,oxygene_matiere_organique,mg/l,bonne,2,>=,5,<=,2-5,vert,60,80,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Oxydabilité KMnO4,OXYDABILITE_KMNO4,Oxydabilité KMnO4,oxygene_matiere_organique,mg/l,moyenne,5,>=,10,<=,5-10,orange/jaune,40,60,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Oxydabilité KMnO4,OXYDABILITE_KMNO4,Oxydabilité KMnO4,oxygene_matiere_organique,mg/l,mauvaise,10,>,,,>10,rouge/violet,20,40,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Oxydabilité KMnO4,OXYDABILITE_KMNO4,Oxydabilité KMnO4,oxygene_matiere_organique,mg/l,tres_mauvaise,,,,,,violet/rouge,0,20,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Nitrates (NO3-),NO3,Nitrates,azote,mg/l,excellente,,,,,10,bleu,80,100,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Nitrates (NO3-),NO3,Nitrates,azote,mg/l,bonne,10,>=,25,<=,10-25,vert,60,80,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Nitrates (NO3-),NO3,Nitrates,azote,mg/l,moyenne,25,>=,50,<=,25-50,orange/jaune,40,60,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Nitrates (NO3-),NO3,Nitrates,azote,mg/l,mauvaise,50,>,,,>50,rouge/violet,20,40,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Nitrates (NO3-),NO3,Nitrates,azote,mg/l,tres_mauvaise,,,,,,violet/rouge,0,20,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,NTK,NTK,NTK,azote,mgN/l,excellente,,,,,1,bleu,80,100,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,NTK,NTK,NTK,azote,mgN/l,bonne,1,>=,2,<=,1-2,vert,60,80,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,NTK,NTK,NTK,azote,mgN/l,moyenne,2,>=,3,<=,2-3,orange/jaune,40,60,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,NTK,NTK,NTK,azote,mgN/l,mauvaise,3,>,,,>3,rouge/violet,20,40,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,NTK,NTK,NTK,azote,mgN/l,tres_mauvaise,,,,,,violet/rouge,0,20,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Ammonium,NH4,Ammonium,azote,mgNH4/l,excellente,,,,,"0,1",bleu,80,100,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Ammonium,NH4,Ammonium,azote,mgNH4/l,bonne,0.1,>=,0.5,<=,"0,1-0,5",vert,60,80,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Ammonium,NH4,Ammonium,azote,mgNH4/l,moyenne,0.5,>=,2,<=,"0,5-2",orange/jaune,40,60,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Ammonium,NH4,Ammonium,azote,mgNH4/l,mauvaise,2,>=,8,<=,2-8,rouge/violet,20,40,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Ammonium,NH4,Ammonium,azote,mgNH4/l,tres_mauvaise,8,>,,,>8,violet/rouge,0,20,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Baryum,BARYUM,Baryum,micropolluants,mg/l,excellente,,,,,"0,1",bleu,80,100,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Baryum,BARYUM,Baryum,micropolluants,mg/l,bonne,0.1,>=,0.7,<=,"0,1-0,7",vert,60,80,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Baryum,BARYUM,Baryum,micropolluants,mg/l,moyenne,0.7,>=,1,<=,"0,7-1",orange/jaune,40,60,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Baryum,BARYUM,Baryum,micropolluants,mg/l,mauvaise,1,>,,,>1,rouge/violet,20,40,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Baryum,BARYUM,Baryum,micropolluants,mg/l,tres_mauvaise,,,,,,violet/rouge,0,20,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Phosphates (PO4--),PO4,Orthophosphates,phosphore,mg/l,excellente,,,,,"0,2",bleu,80,100,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Phosphates (PO4--),PO4,Orthophosphates,phosphore,mg/l,bonne,0.2,>=,0.5,<=,"0,2-0,5",vert,60,80,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Phosphates (PO4--),PO4,Orthophosphates,phosphore,mg/l,moyenne,0.5,>=,1,<=,"0,5-1",orange/jaune,40,60,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Phosphates (PO4--),PO4,Orthophosphates,phosphore,mg/l,mauvaise,1,>=,5,<=,1-5,rouge/violet,20,40,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Phosphates (PO4--),PO4,Orthophosphates,phosphore,mg/l,tres_mauvaise,5,>,,,>5,violet/rouge,0,20,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,P total (Pt),P_TOTAL,P total,phosphore,mg/l,excellente,,,,,"0,1",bleu,80,100,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,P total (Pt),P_TOTAL,P total,phosphore,mg/l,bonne,0.1,>=,0.3,<=,"0,1-0,3",vert,60,80,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,P total (Pt),P_TOTAL,P total,phosphore,mg/l,moyenne,0.3,>=,0.5,<=,"0,3-0,5",orange/jaune,40,60,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,P total (Pt),P_TOTAL,P total,phosphore,mg/l,mauvaise,0.5,>=,3,<=,"0,5-3",rouge/violet,20,40,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,P total (Pt),P_TOTAL,P total,phosphore,mg/l,tres_mauvaise,3,>,,,>3,violet/rouge,0,20,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Fe total (Fe),FE,Fer total,metaux_lourds,mg/l,excellente,,,,,"0,5",bleu,80,100,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Fe total (Fe),FE,Fer total,metaux_lourds,mg/l,bonne,0.5,>=,1,<=,"0,5-1",vert,60,80,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Fe total (Fe),FE,Fer total,metaux_lourds,mg/l,moyenne,1,>=,2,<=,1-2,orange/jaune,40,60,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Fe total (Fe),FE,Fer total,metaux_lourds,mg/l,mauvaise,2,>=,5,<=,2-5,rouge/violet,20,40,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Fe total (Fe),FE,Fer total,metaux_lourds,mg/l,tres_mauvaise,5,>,,,>5,violet/rouge,0,20,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Cuivre (Cu),CU,Cuivre,metaux_lourds,mg/l,excellente,,,,,"0,02",bleu,80,100,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Cuivre (Cu),CU,Cuivre,metaux_lourds,mg/l,bonne,0.02,>=,0.05,<=,"0,02-0,05",vert,60,80,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Cuivre (Cu),CU,Cuivre,metaux_lourds,mg/l,moyenne,0.05,>=,1,<=,"0,05-1",orange/jaune,40,60,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Cuivre (Cu),CU,Cuivre,metaux_lourds,mg/l,mauvaise,1,>,,,>1,rouge/violet,20,40,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Cuivre (Cu),CU,Cuivre,metaux_lourds,mg/l,tres_mauvaise,,,,,,violet/rouge,0,20,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Zinc (Zn),ZN,Zinc,metaux_lourds,mg/l,excellente,,,,,"0,5",bleu,80,100,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Zinc (Zn),ZN,Zinc,metaux_lourds,mg/l,bonne,0.5,>=,1,<=,"0,5-1",vert,60,80,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Zinc (Zn),ZN,Zinc,metaux_lourds,mg/l,moyenne,1,>=,5,<=,1-5,orange/jaune,40,60,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Zinc (Zn),ZN,Zinc,metaux_lourds,mg/l,mauvaise,5,>,,,>5,rouge/violet,20,40,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Zinc (Zn),ZN,Zinc,metaux_lourds,mg/l,tres_mauvaise,,,,,,violet/rouge,0,20,moyenne,
Système d'evaluation de la Qualité des ressources en eau.pdf,8,Tableau n°1 - Grille générale eaux de surface,surface_generale,eaux de surface,Manganèse (Mn),MN,Manganèse,metaux_lourds,mg/l,excellente,,,,,"0,1",bleu,80,100,moyenne,
