source_base,source_schema,source_table,type_table,volume_lignes,colonnes_cles,colonnes_parametre,colonnes_valeur,colonnes_date,colonnes_unite,colonnes_station,destination_cible_proposee,priorite,statut_validation
abh_sebou_ismail,public,mesures_debit_m,hydrologie,19316,code_debit_m,,code_debit_m | debit_m,mois | annee,,ire_station,staging.raw_mesures_debit_m puis hydro.* après validation stations et unités,Élevée,PENDING
abh_sebou_ismail,public,mesures_debit_sources,hydrologie,2816,id,,debit,,,ire_source,staging.raw_mesures_debit_sources puis hydro.* après validation stations et unités,Élevée,PENDING
abh_sebou_ismail,public,mesures_evaporation_jr,météo,48900,id | code_commune,,date_mesure | val_evaporation,date_mesure,code_commune,code_commune | ire_station | geom,staging.raw_mesures_evaporation_jr puis meteo.* après QA et règles NULL,Élevée,PENDING
abh_sebou_ismail,public,mesures_niv_eau_barrages,hydrologie,85166,id,,niveau_eau_m_ngm | volume_mm3 | restitutions_mm3 | transfert_mm3 | apports_mm3,date_jr,volume_mm3 | restitutions_mm3 | transfert_mm3 | apports_mm3,,staging.raw_mesures_niv_eau_barrages puis hydro.* après validation stations et unités,Élevée,PENDING
abh_sebou_ismail,public,mesures_precipitations_jr,météo,669880,,,id_precipitation_jr | ire_precipitation | precipitation_jr,date_jr,,ire_station,staging.raw_mesures_precipitations_jr puis meteo.* après QA et règles NULL,Élevée,PENDING
abh_sebou_ismail,public,mesures_precipitations_jr_max,météo,2085,id,,nbr_val_jr_mqt | ire_precipitation,annee | date_jr | nb_mois,,p_max | y | ire_station,staging.raw_mesures_precipitations_jr_max puis meteo.* après QA et règles NULL,Élevée,PENDING
abh_sebou_ismail,public,mesures_precipitations_jr_traitees,météo,546007,id,,val_observees | val_power_nasa | val_remplies | ire_precipitation,date_jr,,ire_station,staging.raw_mesures_precipitations_jr_traitees puis meteo.* après QA et règles NULL,Élevée,PENDING
abh_sebou_ismail,public,mesures_qualite_barrages,qualité,8714,id,parametre_qualite,val_qual_barr,date_prelevement,,ire_station,staging.raw_mesures_qualite_barrages puis qualite.* après mapping validé,Critique,PENDING
abh_sebou_ismail,public,mesures_qualite_nappes,qualité,63088,id,parametre_qualite,val_qual_nap,date_prelevement,,ire_station,staging.raw_mesures_qualite_nappes puis qualite.* après mapping validé,Critique,PENDING
abh_sebou_ismail,public,mesures_qualite_rivieres,qualité,60097,id,parametre_qualite,val_qual_riv,date_prelevement,,ire_station,staging.raw_mesures_qualite_rivieres puis qualite.* après mapping validé,Critique,PENDING
abh_sebou_ismail,public,mesures_temperatures_jr,météo,0,code_temperature,,code_temperature | temperature_jr,date_jr,,ire_station,staging.raw_mesures_temperatures_jr puis meteo.* après QA et règles NULL,Élevée,PENDING
abh_sebou_ismail,public,mines_abhs,pollution,42,id | code_commune | code_mine,,,,code_commune,code_commune | coord_x | coord_y | geom,staging.raw_mines_abhs puis qualite.source_pollution_* / infra.rejet_* après rattachement validé,Critique,PENDING
abh_sebou_ismail,public,nappes_abhs,autre,17,id | code_nappe,,,,,geom,staging.raw_nappes_abhs puis destination à confirmer,Moyenne,PENDING
abh_sebou_ismail,public,points_eau_abhs,pollution,46,id | code_commune | code_pt_eau,,utilisation | date_realisation,date_realisation,code_commune | vol_preleve_m3_an,code_commune | coord_x | coord_y | geom,staging.raw_points_eau_abhs puis qualite.source_pollution_* / infra.rejet_* après rattachement validé,Critique,PENDING
abh_sebou_ismail,public,profils_stations,référentiel,1980,id,,,,,ire_station | points | coord_x | coord_y | geom,staging.raw_profils_stations puis infra.* / metadata.* après validation référentiel,Moyenne,PENDING
abh_sebou_ismail,public,rejets_abattoirs_abhs,pollution,61,id | code_commune | code_abattoir,,,,code_commune,code_commune | coord_x | coord_y | geom,staging.raw_rejets_abattoirs_abhs puis qualite.source_pollution_* / infra.rejet_* après rattachement validé,Critique,PENDING
abh_sebou_ismail,public,rejets_domestiques_abhs,pollution,362,id | code_commune | code_rejet,,debit_l_s | reutilisation,,code_commune,code_commune | coord_x | coord_y | geom,staging.raw_rejets_domestiques_abhs puis qualite.source_pollution_* / infra.rejet_* après rattachement validé,Critique,PENDING
abh_sebou_ismail,public,rejets_ind_abhs,pollution,11,id | code_commune | code_rejet,,,,code_commune,code_commune | coord_x | coord_y | geom,staging.raw_rejets_ind_abhs puis qualite.source_pollution_* / infra.rejet_* après rattachement validé,Critique,PENDING
abh_sebou_ismail,public,reseau_hydro_abhs,autre,28,id | code_oued,,,,,longueur_km | geom,staging.raw_reseau_hydro_abhs puis destination à confirmer,Moyenne,PENDING
abh_sebou_ismail,public,sources_abhs,référentiel,135,id | code_commune | code_nappe,,,,code_commune,code_commune | ire_source | nom_source | type_source | coord_x | coord_y | coord_z | geom,staging.raw_sources_abhs puis infra.* / metadata.* après validation référentiel,Moyenne,PENDING
abh_sebou_ismail,public,sous_bassin_sebou,référentiel,15,id | code_sb,,,,,nom_sous_bassin | geom,staging.raw_sous_bassin_sebou puis infra.* / metadata.* après validation référentiel,Moyenne,PENDING
abh_sebou_ismail,public,spatial_ref_sys,autre,8500,,,,,,,staging.raw_spatial_ref_sys puis destination à confirmer,Moyenne,PENDING
abh_sebou_ismail,public,stations_abhs,météo,390,code_commune | code_ressource,,ire_precipitation | types_mesures,,code_commune,id_station | code_commune | ire_station | nom_station | type_station | code_ressource | coord_x | coord_y | geom,staging.raw_stations_abhs puis meteo.* après QA et règles NULL,Élevée,PENDING
abh_sebou_ismail,public,step_abhs,pollution,41,id | code_commune | code_step,,niveau_epuration | reutilisation_eaux_us_epur,,code_commune | vol_eaux_us_trait_m3_an,code_commune | type_station | coord_x | coord_y | geom,staging.raw_step_abhs puis qualite.source_pollution_* / infra.rejet_* après rattachement validé,Critique,PENDING
abh_sebou_ismail,public,step_ind_abhs,pollution,15,id | code_commune | code_step,,,,code_commune,code_commune | coord_x | coord_y | geom,staging.raw_step_ind_abhs puis qualite.source_pollution_* / infra.rejet_* après rattachement validé,Critique,PENDING
abh_sebou_ismail,public,stm_abhs,référentiel,18,id | code_commune | code_stm,,,,code_commune,code_commune | coord_x | coord_y | geom,staging.raw_stm_abhs puis infra.* / metadata.* après validation référentiel,Moyenne,PENDING
abh_sebou_ismail,public,suivi_qualite_brg_garde_hebdo,qualité,7094,id,parametre_qualite,val_qual_brg_garde_hebdo,date_prelevement,,ire_station,staging.raw_suivi_qualite_brg_garde_hebdo puis qualite.* après mapping validé,Critique,PENDING
abh_sebou_ismail,public,suivi_qualite_sebou_jr,qualité,59436,id,parametre_qualite,val_qual_sebou_jr,date_prelevement,,ire_station,staging.raw_suivi_qualite_sebou_jr puis qualite.* après mapping validé,Critique,PENDING
abh_sebou_ismail,public,types_mesures,qualité,64,id,type_mesure | parametre_qualite,type_mesure,,unite,,staging.raw_types_mesures puis qualite.* après mapping validé,Critique,PENDING
