table_source,pts_prelevement_original,pts_prelevement_normalise,occurrence,exemples
staging.raw_idp_2024_mesures_qualite_globale,MBK_DEC_PE1 (Forage Ferme ZIANI Bel Arbi),mbk dec pe1 forage ferme ziani bel arbi,26,MBK_DEC_PE1 (Forage Ferme ZIANI Bel Arbi)
staging.raw_idp_2024_mesures_qualite_globale,MBK_DOM_PE1 (Forage Belaje),mbk dom pe1 forage belaje,26,MBK_DOM_PE1 (Forage Belaje)
staging.raw_idp_2024_mesures_qualite_globale,MDZ_PDOM1_PE1 ,mdz pdom1 pe1,26,MDZ_PDOM1_PE1 
staging.raw_idp_2024_mesures_qualite_globale,R-KRB_PDE_P2,r krb pde p2,26,R-KRB_PDE_P2
staging.raw_idp_2024_mesures_qualite_globale,RZI_DEC_PE1 (Puits Fouad ELBRINI),rzi dec pe1 puits fouad elbrini,26,RZI_DEC_PE1 (Puits Fouad ELBRINI)
staging.raw_idp_2024_mesures_qualite_globale,Z_DECH_PE1 (FORAGE IRE 898/16 AIN BOUCHIBA),z dech pe1 forage ire 898 16 ain bouchiba,26,Z_DECH_PE1 (FORAGE IRE 898/16 AIN BOUCHIBA)
staging.raw_idp_2024_mesures_qualite_globale,Z_DECH_PE2 (FORAGE IRE 12/517 AIN BOUCHIBA),z dech pe2 forage ire 12 517 ain bouchiba,26,Z_DECH_PE2 (FORAGE IRE 12/517 AIN BOUCHIBA)
staging.raw_idp_2024_mesures_qualite_globale,ACH_PDE(PUITS CARRIERE),ach pde puits carriere,25,ACH_PDE(PUITS CARRIERE)
staging.raw_idp_2024_mesures_qualite_globale,IMK_DEC_PE1 (AMHAOUCHE ISMAIL),imk dec pe1 amhaouche ismail,25,IMK_DEC_PE1 (AMHAOUCHE ISMAIL)
staging.raw_idp_2024_mesures_qualite_globale,ATJ_DECH_PE1 ,atj dech pe1,24,ATJ_DECH_PE1 
staging.raw_idp_2024_mesures_qualite_globale,SOURCE AMMES DECHQUONDA (BHL_PDOM_PE1),source ammes dechquonda bhl pdom pe1,24,SOURCE AMMES DECHQUONDA (BHL_PDOM_PE1)
staging.raw_idp_2024_mesures_qualite_globale,ALH_PDOM1_PE1 (LAHCEN BIZIZI),alh pdom1 pe1 lahcen bizizi,23,ALH_PDOM1_PE1 (LAHCEN BIZIZI)
staging.raw_idp_2024_mesures_qualite_globale,BMR_DOM_PE1 (Forage CHELIK Arbi),bmr dom pe1 forage chelik arbi,23,BMR_DOM_PE1 (Forage CHELIK Arbi)
staging.raw_idp_2024_mesures_qualite_globale,RAT_DOM_PE1 (TAIBI HASSAN),rat dom pe1 taibi hassan,23,RAT_DOM_PE1 (TAIBI HASSAN)
staging.raw_idp_2024_mesures_qualite_globale,SAT_DEC_PE1 (Puits youness CHOUA),sat dec pe1 puits youness choua,23,SAT_DEC_PE1 (Puits youness CHOUA)
staging.raw_idp_2024_mesures_qualite_globale,SHZ_DOM2_PE1 (Source Skhinate (Nakhla),shz dom2 pe1 source skhinate nakhla,23,SHZ_DOM2_PE1 (Source Skhinate (Nakhla)
staging.raw_idp_2024_mesures_qualite_globale,SHZ_DOM2_PE2 (Source Barda),shz dom2 pe2 source barda,23,SHZ_DOM2_PE2 (Source Barda)
staging.raw_idp_2024_mesures_qualite_globale,LMJ_DOM_R2,lmj dom r2,22,LMJ_DOM_R2
staging.raw_idp_2024_mesures_qualite_globale,LOJ_DOM_R1,loj dom r1,22,LOJ_DOM_R1
staging.raw_idp_2024_mesures_qualite_globale,MBK_DOM_R4,mbk dom r4,22,MBK_DOM_R4
staging.raw_idp_2024_mesures_qualite_globale,MKS_DOM_R2,mks dom r2,22,MKS_DOM_R2
staging.raw_idp_2024_mesures_qualite_globale,OMN_DOM_R2,omn dom r2,22,OMN_DOM_R2
staging.raw_idp_2024_mesures_qualite_globale,PONT RS 302,pont rs 302,22,PONT RS 302
staging.raw_idp_2024_mesures_qualite_globale,S12 (Aval_Conf_Rejet_MBK_R4 (Mechraa Bel Ksiri),s12 aval conf rejet mbk r4 mechraa bel ksiri,22,S12 (Aval_Conf_Rejet_MBK_R4 (Mechraa Bel Ksiri)
staging.raw_idp_2024_mesures_qualite_globale,S26 (Aval_Conf_Rejet_MKS (Mkansa),s26 aval conf rejet mks mkansa,22,S26 (Aval_Conf_Rejet_MKS (Mkansa)
staging.raw_idp_2024_mesures_qualite_globale,STATION BAB MARZOUKA,station bab marzouka,22,STATION BAB MARZOUKA
staging.raw_idp_2024_mesures_qualite_globale,S22 (Aval_conf_Sebou_ Inaoun),s22 aval conf sebou inaoun,21,S22 (Aval_conf_Sebou_ Inaoun)
staging.raw_idp_2024_mesures_qualite_globale,S25 (Aval_Conf_Rejet_LMJ (Lamjaara),s25 aval conf rejet lmj lamjaara,21,S25 (Aval_Conf_Rejet_LMJ (Lamjaara)
staging.raw_idp_2024_mesures_qualite_globale,S31 (Aval_Conf_Rejet_LOJ (Loulja),s31 aval conf rejet loj loulja,21,S31 (Aval_Conf_Rejet_LOJ (Loulja)
staging.raw_idp_2024_mesures_qualite_globale, REJET R10 EM (R10: KNH-DOM-R1),rejet r10 em r10 knh dom r1,19, REJET R10 EM (R10: KNH-DOM-R1)
staging.raw_idp_2024_mesures_qualite_globale, REJET R12 EM (R12: MBK-DOM-R2),rejet r12 em r12 mbk dom r2,19, REJET R12 EM (R12: MBK-DOM-R2)
staging.raw_idp_2024_mesures_qualite_globale,ACH_PDS_R1,ach pds r1,19,ACH_PDS_R1
staging.raw_idp_2024_mesures_qualite_globale,AID_DOM1_R4,aid dom1 r4,19,AID_DOM1_R4
staging.raw_idp_2024_mesures_qualite_globale,AID_DOM1_R4 (AIN DFALI),aid dom1 r4 ain dfali,19,AID_DOM1_R4 (AIN DFALI)
staging.raw_idp_2024_mesures_qualite_globale,AKA_DOM_R1,aka dom r1,19,AKA_DOM_R1
staging.raw_idp_2024_mesures_qualite_globale,AKA_PDOM1_R1,aka pdom1 r1,19,AKA_PDOM1_R1
staging.raw_idp_2024_mesures_qualite_globale,AMONT SOUK ELAHAD CHEBANATE,amont souk elahad chebanate,19,AMONT SOUK ELAHAD CHEBANATE
staging.raw_idp_2024_mesures_qualite_globale,AMONT STEP OUED AMLIL,amont step oued amlil,19,AMONT STEP OUED AMLIL
staging.raw_idp_2024_mesures_qualite_globale,AZR_PDOM1_R1,azr pdom1 r1,19,AZR_PDOM1_R1
staging.raw_idp_2024_mesures_qualite_globale,CHQ_DOM_R1,chq dom r1,19,CHQ_DOM_R1
staging.raw_idp_2024_mesures_qualite_globale,CHQ_DOM_R2,chq dom r2,19,CHQ_DOM_R2
staging.raw_idp_2024_mesures_qualite_globale,DBA_DOM1_R1,dba dom1 r1,19,DBA_DOM1_R1
staging.raw_idp_2024_mesures_qualite_globale,DDZ_PDOM1_R1,ddz pdom1 r1,19,DDZ_PDOM1_R1
staging.raw_idp_2024_mesures_qualite_globale,HFT_DOM_R2,hft dom r2,19,HFT_DOM_R2
staging.raw_idp_2024_mesures_qualite_globale,HFT_DOM_R3,hft dom r3,19,HFT_DOM_R3
staging.raw_idp_2024_mesures_qualite_globale,IMK_DOM_R3,imk dom r3,19,IMK_DOM_R3
staging.raw_idp_2024_mesures_qualite_globale,JEM_DOM_R1,jem dom r1,19,JEM_DOM_R1
staging.raw_idp_2024_mesures_qualite_globale,JEM_DOM_R3,jem dom r3,19,JEM_DOM_R3
staging.raw_idp_2024_mesures_qualite_globale,KSN_DOM_R1,ksn dom r1,19,KSN_DOM_R1
staging.raw_idp_2024_mesures_qualite_globale,LOD_DOM_R1,lod dom r1,19,LOD_DOM_R1
staging.raw_idp_2024_mesures_qualite_globale,M_DOM_R1,m dom r1,19,M_DOM_R1
staging.raw_idp_2024_mesures_qualite_globale,MBC_DOM_R1,mbc dom r1,19,MBC_DOM_R1
staging.raw_idp_2024_mesures_qualite_globale,MBK_DOM_R3,mbk dom r3,19,MBK_DOM_R3
staging.raw_idp_2024_mesures_qualite_globale,MBK_DOM_R5,mbk dom r5,19,MBK_DOM_R5
staging.raw_idp_2024_mesures_qualite_globale,MBK_DOM_R6,mbk dom r6,19,MBK_DOM_R6
staging.raw_idp_2024_mesures_qualite_globale,MKS_DOM_R1,mks dom r1,19,MKS_DOM_R1
staging.raw_idp_2024_mesures_qualite_globale,MOG_DOM_R1,mog dom r1,19,MOG_DOM_R1
staging.raw_idp_2024_mesures_qualite_globale,MOKR_PDOM_R1,mokr pdom r1,19,MOKR_PDOM_R1
staging.raw_idp_2024_mesures_qualite_globale,MSA_DOM1,msa dom1,19,MSA_DOM1
staging.raw_idp_2024_mesures_qualite_globale,NBA_PDOM1_R1,nba pdom1 r1,19,NBA_PDOM1_R1
staging.raw_idp_2024_mesures_qualite_globale,OA_DOM_R3,oa dom r3,19,OA_DOM_R3
staging.raw_idp_2024_mesures_qualite_globale,OHN_DOM_R1,ohn dom r1,19,OHN_DOM_R1
staging.raw_idp_2024_mesures_qualite_globale,ORG_DOM_R2,org dom r2,19,ORG_DOM_R2
staging.raw_idp_2024_mesures_qualite_globale,OZ_DECH_R1,oz dech r1,19,OZ_DECH_R1
staging.raw_idp_2024_mesures_qualite_globale,PA AVAL STEP MHAYA,pa aval step mhaya,19,PA AVAL STEP MHAYA
staging.raw_idp_2024_mesures_qualite_globale,PA Aval Village Tigrigra,pa aval village tigrigra,19,PA Aval Village Tigrigra
staging.raw_idp_2024_mesures_qualite_globale,REJET ABATTOIR BAB MARZOUKA ,rejet abattoir bab marzouka,19,REJET ABATTOIR BAB MARZOUKA 
staging.raw_idp_2024_mesures_qualite_globale,REJET ABATTOIR BNI FTAH,rejet abattoir bni ftah,19,REJET ABATTOIR BNI FTAH
staging.raw_idp_2024_mesures_qualite_globale,REJET ABATTOIR GALDMANE,rejet abattoir galdmane,19,REJET ABATTOIR GALDMANE
staging.raw_idp_2024_mesures_qualite_globale,REJET ABATTOIR MASMOUDA,rejet abattoir masmouda,19,REJET ABATTOIR MASMOUDA
staging.raw_idp_2024_mesures_qualite_globale,REJET ABATTOIR MATMATA,rejet abattoir matmata,19,REJET ABATTOIR MATMATA
staging.raw_idp_2024_mesures_qualite_globale,REJET ABATTOIR MOQRISSET ,rejet abattoir moqrisset,19,REJET ABATTOIR MOQRISSET 
staging.raw_idp_2024_mesures_qualite_globale,REJET ABATTOIR SIDI BOUSBER,rejet abattoir sidi bousber,19,REJET ABATTOIR SIDI BOUSBER
staging.raw_idp_2024_mesures_qualite_globale,REJET ABATTOIR SIDI REDOUANE,rejet abattoir sidi redouane,19,REJET ABATTOIR SIDI REDOUANE
staging.raw_idp_2024_mesures_qualite_globale,REJET ABATTOIR SKOURA MDAZ,rejet abattoir skoura mdaz,19,REJET ABATTOIR SKOURA MDAZ
staging.raw_idp_2024_mesures_qualite_globale,REJET ABATTOIR ZOUMI ,rejet abattoir zoumi,19,REJET ABATTOIR ZOUMI 
staging.raw_idp_2024_mesures_qualite_globale,REJET MERJA FOUARATE AIN SEBAA,rejet merja fouarate ain sebaa,19,REJET MERJA FOUARATE AIN SEBAA
staging.raw_idp_2024_mesures_qualite_globale,REJET R1 EM (R1: SHZ-DOM2-R1),rejet r1 em r1 shz dom2 r1,19,REJET R1 EM (R1: SHZ-DOM2-R1)
staging.raw_idp_2024_mesures_qualite_globale,REJET R11 EM (R11: NTR-DOM-R1),rejet r11 em r11 ntr dom r1,19,REJET R11 EM (R11: NTR-DOM-R1)
staging.raw_idp_2024_mesures_qualite_globale,REJET R2 EM  (R2: SHZ-DOM2-R2),rejet r2 em r2 shz dom2 r2,19,REJET R2 EM  (R2: SHZ-DOM2-R2)
staging.raw_idp_2024_mesures_qualite_globale,REJET R3 EM  (R3: SHZ-DOM1-R1),rejet r3 em r3 shz dom1 r1,19,REJET R3 EM  (R3: SHZ-DOM1-R1)
staging.raw_idp_2024_mesures_qualite_globale,REJET R4 EM (R4: SHZ-DOM3-R2),rejet r4 em r4 shz dom3 r2,19,REJET R4 EM (R4: SHZ-DOM3-R2)
staging.raw_idp_2024_mesures_qualite_globale,REJET R5 EM (R5: LOD-DOM-R2),rejet r5 em r5 lod dom r2,19,REJET R5 EM (R5: LOD-DOM-R2)
staging.raw_idp_2024_mesures_qualite_globale,REJET R6 EM  (R6: ORG-DOM-R3),rejet r6 em r6 org dom r3,19,REJET R6 EM  (R6: ORG-DOM-R3)
staging.raw_idp_2024_mesures_qualite_globale,REJET R7 EM  (R7: JEM-DOM-R2),rejet r7 em r7 jem dom r2,19,REJET R7 EM  (R7: JEM-DOM-R2)
staging.raw_idp_2024_mesures_qualite_globale,REJET R8 EM (R8: LMJ-DOM-R1),rejet r8 em r8 lmj dom r1,19,REJET R8 EM (R8: LMJ-DOM-R1)
staging.raw_idp_2024_mesures_qualite_globale,REJET R9 EM (R9: TRL-DOM-R1),rejet r9 em r9 trl dom r1,19,REJET R9 EM (R9: TRL-DOM-R1)
staging.raw_idp_2024_mesures_qualite_globale,REJET STEP TIFLET,rejet step tiflet,19,REJET STEP TIFLET
staging.raw_idp_2024_mesures_qualite_globale,RG_AIS_1,rg ais 1,19,RG_AIS_1
staging.raw_idp_2024_mesures_qualite_globale,RG_TFL_1,rg tfl 1,19,RG_TFL_1
staging.raw_idp_2024_mesures_qualite_globale,S1 (Aval_conf_Rejet_MOG (Mograne),s1 aval conf rejet mog mograne,19,S1 (Aval_conf_Rejet_MOG (Mograne)
staging.raw_idp_2024_mesures_qualite_globale,S10 (Aval douar Zehair (sidi kamel),s10 aval douar zehair sidi kamel,19,S10 (Aval douar Zehair (sidi kamel)
staging.raw_idp_2024_mesures_qualite_globale,S11 (Amont Fermes Agricole sidi kamel,s11 amont fermes agricole sidi kamel,19,S11 (Amont Fermes Agricole sidi kamel
staging.raw_idp_2024_mesures_qualite_globale,S13 (Aval_Conf_Rejet_MBK (Mechraa Bel Ksiri),s13 aval conf rejet mbk mechraa bel ksiri,19,S13 (Aval_Conf_Rejet_MBK (Mechraa Bel Ksiri)
staging.raw_idp_2024_mesures_qualite_globale,S2 (Barrage de garde),s2 barrage de garde,19,S2 (Barrage de garde)
staging.raw_idp_2024_mesures_qualite_globale,S24 (Douar Chorf laghouazi),s24 douar chorf laghouazi,19,S24 (Douar Chorf laghouazi)
staging.raw_idp_2024_mesures_qualite_globale,S3 (Station Pompage Ferme (Amont Bge de garde),s3 station pompage ferme amont bge de garde,19,S3 (Station Pompage Ferme (Amont Bge de garde)
staging.raw_idp_2024_mesures_qualite_globale,S4 (Amont station pompage ferme),s4 amont station pompage ferme,19,S4 (Amont station pompage ferme)
staging.raw_idp_2024_mesures_qualite_globale,S5 (Aval ancien rejet sotrameg),s5 aval ancien rejet sotrameg,19,S5 (Aval ancien rejet sotrameg)
staging.raw_idp_2024_mesures_qualite_globale,S6 (Amont ancien rejet sotrameg),s6 amont ancien rejet sotrameg,19,S6 (Amont ancien rejet sotrameg)
staging.raw_idp_2024_mesures_qualite_globale,S7 (Aval_Conf_Rejet_SAT (Sidi Allal Tazi),s7 aval conf rejet sat sidi allal tazi,19,S7 (Aval_Conf_Rejet_SAT (Sidi Allal Tazi)
staging.raw_idp_2024_mesures_qualite_globale,S9 (Aval douar el fokra (sidi kamel),s9 aval douar el fokra sidi kamel,19,S9 (Aval douar el fokra (sidi kamel)
staging.raw_idp_2024_mesures_qualite_globale,SAH_DOM1_R1,sah dom1 r1,19,SAH_DOM1_R1
staging.raw_idp_2024_mesures_qualite_globale,SAT_DOM_R2,sat dom r2,19,SAT_DOM_R2
staging.raw_idp_2024_mesures_qualite_globale,SAZ_DOM_R1,saz dom r1,19,SAZ_DOM_R1
staging.raw_idp_2024_mesures_qualite_globale,SAZ_DOM_R2,saz dom r2,19,SAZ_DOM_R2
staging.raw_idp_2024_mesures_qualite_globale,SDK_DOM1_R2,sdk dom1 r2,19,SDK_DOM1_R2
staging.raw_idp_2024_mesures_qualite_globale,SDR_PDOM_R1,sdr pdom r1,19,SDR_PDOM_R1
staging.raw_idp_2024_mesures_qualite_globale,SHZ_DOM2_R3,shz dom2 r3,19,SHZ_DOM2_R3
staging.raw_idp_2024_mesures_qualite_globale,SHZ_DOM2_R4,shz dom2 r4,19,SHZ_DOM2_R4
staging.raw_idp_2024_mesures_qualite_globale,SHZ_DOM2_R5,shz dom2 r5,19,SHZ_DOM2_R5
staging.raw_idp_2024_mesures_qualite_globale,SHZ_DOM3_R1,shz dom3 r1,19,SHZ_DOM3_R1
staging.raw_idp_2024_mesures_qualite_globale,SHZ_DOM5_R1,shz dom5 r1,19,SHZ_DOM5_R1
staging.raw_idp_2024_mesures_qualite_globale,SMK_PDOM1_R2,smk pdom1 r2,19,SMK_PDOM1_R2
staging.raw_idp_2024_mesures_qualite_globale,TAZ_PDOM_R9,taz pdom r9,19,TAZ_PDOM_R9
staging.raw_idp_2024_mesures_qualite_globale,TRL_DOM_R2,trl dom r2,19,TRL_DOM_R2
staging.raw_idp_2024_mesures_qualite_globale,ZDA_PDOM_R1,zda pdom r1,19,ZDA_PDOM_R1
staging.raw_idp_2024_mesures_qualite_globale,ZOM_PDOM_R1,zom pdom r1,19,ZOM_PDOM_R1
staging.raw_idp_2024_mesures_qualite_globale,AMONT SEFROU,amont sefrou,17,AMONT SEFROU
staging.raw_idp_2024_mesures_qualite_globale,AVAL OUED IFRANE,aval oued ifrane,17,AVAL OUED IFRANE
staging.raw_idp_2024_mesures_qualite_globale,BA_DOM_R1,ba dom r1,17,BA_DOM_R1
staging.raw_idp_2024_mesures_qualite_globale,BHD_PDS_R2,bhd pds r2,17,BHD_PDS_R2
staging.raw_idp_2024_mesures_qualite_globale,BHL_DOM_PE1 (PUITS),bhl dom pe1 puits,17,BHL_DOM_PE1 (PUITS)
staging.raw_idp_2024_mesures_qualite_globale,RAT_DOM_R1,rat dom r1,17,RAT_DOM_R1
staging.raw_idp_2024_mesures_qualite_globale,TAHLA_DECH_PE1 (FORAGE IRE 1/509),tahla dech pe1 forage ire 1 509,17,TAHLA_DECH_PE1 (FORAGE IRE 1/509)
staging.raw_idp_2024_mesures_qualite_globale,TAM_PDS_R1,tam pds r1,17,TAM_PDS_R1
staging.raw_idp_2024_mesures_qualite_globale,THS_PDS_R1,ths pds r1,17,THS_PDS_R1
staging.raw_idp_2024_mesures_qualite_globale,TIS_DEC_PE1 (MEHDI OUAZZANI),tis dec pe1 mehdi ouazzani,17,TIS_DEC_PE1 (MEHDI OUAZZANI)
staging.raw_idp_2024_mesures_qualite_globale, REJET R10 EP (R10: KNH-DOM-R1),rejet r10 ep r10 knh dom r1,3, REJET R10 EP (R10: KNH-DOM-R1)
