id_decision,parametre_observe,nom_standard_metier,variantes_associees,unite_source,unite_metier,unite_abh,source_table,colonne_valeur,volume_total,volume_non_null,nb_null,nb_non_numerique,nb_suspect,min_observe,max_observe,plage_abh,plage_biblio,statut_mapping,statut_unite,statut_valeur,statut_migration,action_recommandee,decision_metier,commentaire_metier,reference_biblio_principale
MIG-0015,Azote_Org,N_org,Azote_Org,mg/L,mg/L,,mesures_qualite_barrages,val_qual_barr,1,1,0,0,0,0.25,0.25,référence ABH non disponible,référence bibliographique non confirmée,MAPPED_BY_METIER_VARIANT,UNIT_OK,NO_REFERENCE,NEEDS_BIBLIO_VALIDATION,confirmer une plage de référence ou accepter sans seuil externe,,,
MIG-0016,Azote_Org,N_org,Azote_Org,mg/L,mg/L,,mesures_qualite_nappes,val_qual_nap,1,1,0,0,0,0.15,0.15,référence ABH non disponible,référence bibliographique non confirmée,MAPPED_BY_METIER_VARIANT,UNIT_OK,NO_REFERENCE,NEEDS_BIBLIO_VALIDATION,confirmer une plage de référence ou accepter sans seuil externe,,,
MIG-0017,Azote_Org,N_org,Azote_Org,mg/L,mg/L,,mesures_qualite_rivieres,val_qual_riv,2,2,0,0,0,0,0,référence ABH non disponible,référence bibliographique non confirmée,MAPPED_BY_METIER_VARIANT,UNIT_OK,NO_REFERENCE,NEEDS_BIBLIO_VALIDATION,confirmer une plage de référence ou accepter sans seuil externe,,,
MIG-0018,Azote_Org,N_org,Azote_Org,mg/L,mg/L,,types_mesures,,1,0,0,0,0,,,référence ABH non disponible,référence bibliographique non confirmée,MAPPED_BY_METIER_VARIANT,UNIT_OK,NO_REFERENCE,NEEDS_BIBLIO_VALIDATION,confirmer une plage de référence ou accepter sans seuil externe,,,
MIG-0019,Azote_tot_kjeld,NTK,NTK | NTK Spectr | NTK Titri | Azote_tot_kjeld | Azote_tot_kjeldhal,mg/L,mg/L,,mesures_qualite_barrages,val_qual_barr,1,1,0,0,0,0.371,0.371,référence ABH non disponible,référence bibliographique non confirmée,MAPPED_BY_METIER_VARIANT,UNIT_OK,NO_REFERENCE,NEEDS_BIBLIO_VALIDATION,confirmer une plage de référence ou accepter sans seuil externe,,,
MIG-0020,Azote_tot_kjeld,NTK,NTK | NTK Spectr | NTK Titri | Azote_tot_kjeld | Azote_tot_kjeldhal,mg/L,mg/L,,types_mesures,,1,0,0,0,0,,,référence ABH non disponible,référence bibliographique non confirmée,MAPPED_BY_METIER_VARIANT,UNIT_OK,NO_REFERENCE,NEEDS_BIBLIO_VALIDATION,confirmer une plage de référence ou accepter sans seuil externe,,,
MIG-0021,Azote_tot_kjeldhal,NTK,NTK | NTK Spectr | NTK Titri | Azote_tot_kjeld | Azote_tot_kjeldhal,mg/L,mg/L,,mesures_qualite_barrages,val_qual_barr,147,147,0,0,0,1.7999999999999999E-2,12.95,référence ABH non disponible,référence bibliographique non confirmée,MAPPED_BY_METIER_VARIANT,UNIT_OK,NO_REFERENCE,NEEDS_BIBLIO_VALIDATION,confirmer une plage de référence ou accepter sans seuil externe,,,
MIG-0022,Azote_tot_kjeldhal,NTK,NTK | NTK Spectr | NTK Titri | Azote_tot_kjeld | Azote_tot_kjeldhal,mg/L,mg/L,,mesures_qualite_nappes,val_qual_nap,206,206,0,0,0,0.01,15,référence ABH non disponible,référence bibliographique non confirmée,MAPPED_BY_METIER_VARIANT,UNIT_OK,NO_REFERENCE,NEEDS_BIBLIO_VALIDATION,confirmer une plage de référence ou accepter sans seuil externe,,,
MIG-0023,Azote_tot_kjeldhal,NTK,NTK | NTK Spectr | NTK Titri | Azote_tot_kjeld | Azote_tot_kjeldhal,mg/L,mg/L,,mesures_qualite_rivieres,val_qual_riv,1580,1580,0,0,0,0,1309,référence ABH non disponible,référence bibliographique non confirmée,MAPPED_BY_METIER_VARIANT,UNIT_OK,NO_REFERENCE,NEEDS_BIBLIO_VALIDATION,confirmer une plage de référence ou accepter sans seuil externe,,,
MIG-0024,Azote_tot_kjeldhal,NTK,NTK | NTK Spectr | NTK Titri | Azote_tot_kjeld | Azote_tot_kjeldhal,mg/L,mg/L,,types_mesures,,1,0,0,0,0,,,référence ABH non disponible,référence bibliographique non confirmée,MAPPED_BY_METIER_VARIANT,UNIT_OK,NO_REFERENCE,NEEDS_BIBLIO_VALIDATION,confirmer une plage de référence ou accepter sans seuil externe,,,
MIG-0025,Azote_Total,N_tot,Azote_Total,mg/L,mg/L,,mesures_qualite_barrages,val_qual_barr,11,11,0,0,0,0.13300000000000001,5.04,référence ABH non disponible,référence bibliographique non confirmée,MAPPED_BY_METIER_VARIANT,UNIT_OK,NO_REFERENCE,NEEDS_BIBLIO_VALIDATION,confirmer une plage de référence ou accepter sans seuil externe,,,
MIG-0026,Azote_Total,N_tot,Azote_Total,mg/L,mg/L,,mesures_qualite_rivieres,val_qual_riv,358,358,0,0,0,7.6999999999999999E-2,141,référence ABH non disponible,référence bibliographique non confirmée,MAPPED_BY_METIER_VARIANT,UNIT_OK,NO_REFERENCE,NEEDS_BIBLIO_VALIDATION,confirmer une plage de référence ou accepter sans seuil externe,,,
MIG-0027,Azote_Total,N_tot,Azote_Total,mg/L,mg/L,,types_mesures,,1,0,0,0,0,,,référence ABH non disponible,référence bibliographique non confirmée,MAPPED_BY_METIER_VARIANT,UNIT_OK,NO_REFERENCE,NEEDS_BIBLIO_VALIDATION,confirmer une plage de référence ou accepter sans seuil externe,,,
MIG-0028,Mn5,Mn,Mn | Mn5 | Manganèse(mg/l),à confirmer,mg/L,,idp_2024_mesures_qualite_marche_cadre,val_qual,88,88,0,80,1,6.7000000000000004E-2,0.44800000000000001,référence ABH non disponible,<= 0.08 ; frais typiques 0.001-0.2 mg/L,MAPPED_BY_METIER_VARIANT,UNIT_MISSING,NOT_EVALUATED,NEEDS_UNIT_VALIDATION,unité source absente,,,WHO — Manganese fact sheet 2022 (https://cdn.who.int/media/docs/default-source/wash-documents/water-safety-and-quality/chemical-fact-sheets-2022/manganese-fact-sheet-2022.pdf)
MIG-0029,Ba,Ba,Ba,à confirmer,mg/L,,mesures_qualite_rivieres,val_qual_riv,18,18,0,0,0,0,2.2000000000000002,référence ABH non disponible,référence bibliographique non confirmée,MAPPED_EXACT,UNIT_MISSING,NOT_EVALUATED,NEEDS_UNIT_VALIDATION,unité source absente,,,
MIG-0030,CT,CT,CT,mg/L,UFC/100 mL,,idp_2024_mesures_qualite_marche_cadre,val_qual,89,89,0,61,0,0,80,référence ABH non disponible,référence bibliographique non confirmée,MAPPED_EXACT,UNIT_CONFLICT,NOT_EVALUATED,NEEDS_UNIT_VALIDATION,unités non alignées,,,
MIG-0031,Beryllium(mg/l),Be,Be | Beryllium(mg/l),mg/l,mg/L,,suivi_qualite_brg_garde_hebdo,val_qual_brg_garde_hebdo,182,22,160,0,0,5.0000000000000001E-3,5.0000000000000001E-3,référence ABH non disponible,référence bibliographique non confirmée,MAPPED_BY_METIER_VARIANT,UNIT_OK,NO_REFERENCE,NEEDS_BIBLIO_VALIDATION,confirmer une plage de référence ou accepter sans seuil externe,,,
MIG-0032,Bilan_Ionique,Bilan_Ion,Bilan_Ionique,à confirmer,%,,idp_2024_mesures_qualite_globale,val_qual,28,28,0,0,0,0.52521630699999999,8.7914703319999994,référence ABH non disponible,référence bibliographique non confirmée,MAPPED_BY_METIER_VARIANT,UNIT_MISSING,NOT_EVALUATED,NEEDS_UNIT_VALIDATION,unité source absente,,,
MIG-0033,Bilan_Ionique,Bilan_Ion,Bilan_Ionique,à confirmer,%,,idp_2024_mesures_qualite_marche_cadre,val_qual,89,85,4,0,0,4.0490623000000003E-2,9.7942684270000004,référence ABH non disponible,référence bibliographique non confirmée,MAPPED_BY_METIER_VARIANT,UNIT_MISSING,NOT_EVALUATED,NEEDS_UNIT_VALIDATION,unité source absente,,,
MIG-0034,Bore(mg/l),,,mg/l,,,suivi_qualite_brg_garde_hebdo,val_qual_brg_garde_hebdo,182,22,160,0,0,5.8000000000000003E-2,0.157,référence ABH non disponible,référence bibliographique non confirmée,UNMAPPED,UNIT_UNKNOWN,NOT_EVALUATED,UNMAPPED_PARAMETER,créer ou valider le mapping métier,,,
MIG-0035,Ca,Ca,Ca | Ca++,mg/L,mg/L,,mesures_qualite_barrages,val_qual_barr,126,126,0,0,0,19,260,référence ABH non disponible,référence bibliographique non confirmée,MAPPED_EXACT,UNIT_OK,NO_REFERENCE,NEEDS_BIBLIO_VALIDATION,confirmer une plage de référence ou accepter sans seuil externe,,,
MIG-0036,Ca,Ca,Ca | Ca++,mg/L,mg/L,,mesures_qualite_nappes,val_qual_nap,2550,2550,0,0,0,1.21,1282,référence ABH non disponible,référence bibliographique non confirmée,MAPPED_EXACT,UNIT_OK,NO_REFERENCE,NEEDS_BIBLIO_VALIDATION,confirmer une plage de référence ou accepter sans seuil externe,,,
MIG-0037,Ca,Ca,Ca | Ca++,mg/L,mg/L,,mesures_qualite_rivieres,val_qual_riv,1741,1741,0,0,0,7.62,1912,référence ABH non disponible,référence bibliographique non confirmée,MAPPED_EXACT,UNIT_OK,NO_REFERENCE,NEEDS_BIBLIO_VALIDATION,confirmer une plage de référence ou accepter sans seuil externe,,,
MIG-0038,Ca,Ca,Ca | Ca++,mg/L,mg/L,,types_mesures,,1,0,0,0,0,,,référence ABH non disponible,référence bibliographique non confirmée,MAPPED_EXACT,UNIT_OK,NO_REFERENCE,NEEDS_BIBLIO_VALIDATION,confirmer une plage de référence ou accepter sans seuil externe,,,
MIG-0039,Ca++,Ca,Ca | Ca++,à confirmer,mg/L,,idp_2024_mesures_qualite_globale,val_qual,189,189,0,0,0,19.600000000000001,1222.4000000000001,référence ABH non disponible,référence bibliographique non confirmée,MAPPED_BY_METIER_VARIANT,UNIT_MISSING,NOT_EVALUATED,NEEDS_UNIT_VALIDATION,unité source absente,,,
MIG-0040,Ca++,Ca,Ca | Ca++,à confirmer,mg/L,,idp_2024_mesures_qualite_marche_cadre,val_qual,89,89,0,0,0,17.600000000000001,1222,référence ABH non disponible,référence bibliographique non confirmée,MAPPED_BY_METIER_VARIANT,UNIT_MISSING,NOT_EVALUATED,NEEDS_UNIT_VALIDATION,unité source absente,,,
MIG-0041,SF,SF,SF,g/L,UFC/100 mL,,idp_2024_mesures_qualite_marche_cadre,val_qual,89,89,0,54,0,0,65,référence ABH non disponible,référence bibliographique non confirmée,MAPPED_EXACT,UNIT_CONFLICT,NOT_EVALUATED,NEEDS_UNIT_VALIDATION,unités non alignées,,,
MIG-0042,Cadmium(mg/l),Cd,Cd | Cadmium | Cadmium(mg/l),mg/l,mg/L,,suivi_qualite_brg_garde_hebdo,val_qual_brg_garde_hebdo,182,22,160,0,0,5.0000000000000001E-4,5.0000000000000001E-4,référence ABH non disponible,<= 0.003 mg/L,MAPPED_BY_METIER_VARIANT,UNIT_OK,SUSPECT_OUTLIER,OK_WITH_FLAG,migrer avec contrôle standard,,,WHO — Chemical fact sheets: Cadmium (https://cdn.who.int/media/docs/default-source/wash-documents/water-safety-and-quality/chemical-fact-sheets-2022/cadmium-fact-sheet-2022.pdf)
MIG-0043,cap_equiv_hab,Cap_equiv,cap_equiv_hab,à confirmer,EH,,step_abhs,cap_equiv_hab,41,12,29,0,0,20.067,219000,référence ABH non disponible,référence bibliographique non confirmée,MAPPED_BY_METIER_VARIANT,UNIT_MISSING,NOT_EVALUATED,NEEDS_UNIT_VALIDATION,unité source absente,,,
MIG-0044,Carbone_org,MO,MO | Carbone_org,à confirmer,mg/L,,mesures_qualite_rivieres,val_qual_riv,2,2,0,0,0,0,0,référence ABH non disponible,référence bibliographique non confirmée,MAPPED_BY_METIER_VARIANT,UNIT_MISSING,NOT_EVALUATED,NEEDS_UNIT_VALIDATION,unité source absente,,,
MIG-0045,CF,CF,CF | CF(UFC/100mL),UFC/100mL,UFC/100 mL,,idp_2024_mesures_qualite_marche_cadre,val_qual,89,89,0,52,0,0,90,référence ABH non disponible,<= 100 geom. mean ; <= 320 STV cfu/100 mL,MAPPED_EXACT,UNIT_OK,NON_NUMERIC_REVIEW,NEEDS_VALUE_RULE,quarantaine des valeurs non interprétables avant migration,,,US EPA — E. coli Parameter Factsheet (https://www.epa.gov/system/files/documents/2021-07/parameter-factsheet_e.-coli.pdf)
MIG-0046,Cd,Cd,Cd | Cadmium | Cadmium(mg/l),à confirmer,mg/L,,mesures_qualite_nappes,val_qual_nap,5,5,0,0,1,0,1.4999999999999999E-2,référence ABH non disponible,<= 0.003 mg/L,MAPPED_EXACT,UNIT_MISSING,NOT_EVALUATED,NEEDS_UNIT_VALIDATION,unité source absente,,,WHO — Chemical fact sheets: Cadmium (https://cdn.who.int/media/docs/default-source/wash-documents/water-safety-and-quality/chemical-fact-sheets-2022/cadmium-fact-sheet-2022.pdf)
MIG-0047,Cd,Cd,Cd | Cadmium | Cadmium(mg/l),à confirmer,mg/L,,mesures_qualite_rivieres,val_qual_riv,274,274,0,0,1,0,5.04,référence ABH non disponible,<= 0.003 mg/L,MAPPED_EXACT,UNIT_MISSING,NOT_EVALUATED,NEEDS_UNIT_VALIDATION,unité source absente,,,WHO — Chemical fact sheets: Cadmium (https://cdn.who.int/media/docs/default-source/wash-documents/water-safety-and-quality/chemical-fact-sheets-2022/cadmium-fact-sheet-2022.pdf)
MIG-0048,NO2- _Spectro.,NO2-,NO2- | NO2- _Spectro.,à confirmer,mg/L,,idp_2024_mesures_qualite_marche_cadre,val_qual,89,89,0,49,1,0.01,6.81,référence ABH non disponible,<= 3 mg/L as nitrite,MAPPED_BY_METIER_VARIANT,UNIT_MISSING,NOT_EVALUATED,NEEDS_UNIT_VALIDATION,unité source absente,,,WHO — Chemical fact sheets: Nitrate/nitrite (https://cdn.who.int/media/docs/default-source/wash-documents/water-safety-and-quality/chemical-fact-sheets-2022/nitrate-and-nitrite-fact-sheet-2022.pdf?download=true&sfvrsn=a65406e9_2)
MIG-0049,Ag,Ag,Ag,à confirmer,mg/L,,idp_2024_mesures_qualite_globale,val_qual,46,46,0,46,0,,,référence ABH non disponible,référence bibliographique non confirmée,MAPPED_EXACT,UNIT_MISSING,NOT_EVALUATED,NEEDS_UNIT_VALIDATION,unité source absente,,,
MIG-0050,CF,CF,CF | CF(UFC/100mL),UFC/100mL,UFC/100 mL,,mesures_qualite_barrages,val_qual_barr,139,139,0,0,1,0,160000,référence ABH non disponible,<= 100 geom. mean ; <= 320 STV cfu/100 mL,MAPPED_EXACT,UNIT_OK,SUSPECT_OUTLIER,QUARANTINE_BEFORE_MIGRATION,mettre en quarantaine,,,US EPA — E. coli Parameter Factsheet (https://www.epa.gov/system/files/documents/2021-07/parameter-factsheet_e.-coli.pdf)
MIG-0051,CF,CF,CF | CF(UFC/100mL),UFC/100mL,UFC/100 mL,,mesures_qualite_nappes,val_qual_nap,2643,2643,0,0,1,0,6500000,référence ABH non disponible,<= 100 geom. mean ; <= 320 STV cfu/100 mL,MAPPED_EXACT,UNIT_OK,SUSPECT_OUTLIER,QUARANTINE_BEFORE_MIGRATION,mettre en quarantaine,,,US EPA — E. coli Parameter Factsheet (https://www.epa.gov/system/files/documents/2021-07/parameter-factsheet_e.-coli.pdf)
MIG-0052,CF,CF,CF | CF(UFC/100mL),UFC/100mL,UFC/100 mL,,mesures_qualite_rivieres,val_qual_riv,1953,1953,0,0,1,-0.4,120000000,référence ABH non disponible,<= 100 geom. mean ; <= 320 STV cfu/100 mL,MAPPED_EXACT,UNIT_OK,SUSPECT_OUTLIER,QUARANTINE_BEFORE_MIGRATION,mettre en quarantaine,,,US EPA — E. coli Parameter Factsheet (https://www.epa.gov/system/files/documents/2021-07/parameter-factsheet_e.-coli.pdf)
MIG-0053,CF,CF,CF | CF(UFC/100mL),UFC/100mL,UFC/100 mL,,types_mesures,,1,0,0,0,0,,,référence ABH non disponible,<= 100 geom. mean ; <= 320 STV cfu/100 mL,MAPPED_EXACT,UNIT_OK,VALID,OK_FOR_MIGRATION,migrer sans réserve particulière,,,US EPA — E. coli Parameter Factsheet (https://www.epa.gov/system/files/documents/2021-07/parameter-factsheet_e.-coli.pdf)
MIG-0054,CF(UFC/100mL),CF,CF | CF(UFC/100mL),UFC/100mL,UFC/100 mL,,suivi_qualite_brg_garde_hebdo,val_qual_brg_garde_hebdo,182,88,94,0,1,0,110000,référence ABH non disponible,<= 100 geom. mean ; <= 320 STV cfu/100 mL,MAPPED_EXACT,UNIT_OK,SUSPECT_OUTLIER,QUARANTINE_BEFORE_MIGRATION,mettre en quarantaine,,,US EPA — E. coli Parameter Factsheet (https://www.epa.gov/system/files/documents/2021-07/parameter-factsheet_e.-coli.pdf)
MIG-0055,Chl,Chla,Chl | Chl a | Chl.A(µg/l) | Chla,à confirmer,µg/L,,mesures_qualite_rivieres,val_qual_riv,2,2,0,0,0,0,0,référence ABH non disponible,référence bibliographique non confirmée,MAPPED_BY_METIER_VARIANT,UNIT_MISSING,NOT_EVALUATED,NEEDS_UNIT_VALIDATION,unité source absente,,,
MIG-0056,As,As,As | Arsenic | Arsenic(mg/l),à confirmer,mg/L,,idp_2024_mesures_qualite_globale,val_qual,46,46,0,46,1,,,référence ABH non disponible,<= 0.01 mg/L,MAPPED_EXACT,UNIT_MISSING,NOT_EVALUATED,NEEDS_UNIT_VALIDATION,unité source absente,,,WHO — Arsenic fact sheet (https://www.who.int/news-room/fact-sheets/detail/arsenic)
MIG-0057,Chl.A(µg/l),Chla,Chl | Chl a | Chl.A(µg/l) | Chla,µg/l,µg/L,,suivi_qualite_brg_garde_hebdo,val_qual_brg_garde_hebdo,182,180,2,0,0,0.1,68.400000000000006,référence ABH non disponible,référence bibliographique non confirmée,MAPPED_EXACT,UNIT_OK,NO_REFERENCE,NEEDS_BIBLIO_VALIDATION,confirmer une plage de référence ou accepter sans seuil externe,,,
MIG-0058,Chla,Chla,Chl | Chl a | Chl.A(µg/l) | Chla,µg/L,µg/L,,mesures_qualite_barrages,val_qual_barr,417,417,0,0,0,0,228.3,référence ABH non disponible,référence bibliographique non confirmée,MAPPED_EXACT,UNIT_OK,NO_REFERENCE,NEEDS_BIBLIO_VALIDATION,confirmer une plage de référence ou accepter sans seuil externe,,,
MIG-0059,Chla,Chla,Chl | Chl a | Chl.A(µg/l) | Chla,µg/L,µg/L,,mesures_qualite_nappes,val_qual_nap,7,7,0,0,0,0,75,référence ABH non disponible,référence bibliographique non confirmée,MAPPED_EXACT,UNIT_OK,NO_REFERENCE,NEEDS_BIBLIO_VALIDATION,confirmer une plage de référence ou accepter sans seuil externe,,,
MIG-0060,Chla,Chla,Chl | Chl a | Chl.A(µg/l) | Chla,µg/L,µg/L,,mesures_qualite_rivieres,val_qual_riv,180,180,0,0,0,0,67.599999999999994,référence ABH non disponible,référence bibliographique non confirmée,MAPPED_EXACT,UNIT_OK,NO_REFERENCE,NEEDS_BIBLIO_VALIDATION,confirmer une plage de référence ou accepter sans seuil externe,,,
MIG-0061,Chla,Chla,Chl | Chl a | Chl.A(µg/l) | Chla,µg/L,µg/L,,types_mesures,,1,0,0,0,0,,,référence ABH non disponible,référence bibliographique non confirmée,MAPPED_EXACT,UNIT_OK,NO_REFERENCE,NEEDS_BIBLIO_VALIDATION,confirmer une plage de référence ou accepter sans seuil externe,,,
MIG-0062,Se,Se,Se | Sélénium | Sélénium(mg/l),à confirmer,mg/L,,idp_2024_mesures_qualite_globale,val_qual,46,46,0,46,0,,,référence ABH non disponible,référence bibliographique non confirmée,MAPPED_EXACT,UNIT_MISSING,NOT_EVALUATED,NEEDS_UNIT_VALIDATION,unité source absente,,,
MIG-0063,Chrome(mg/l),Cr,Cr | CrT | Chrome | Chrome(mg/l),mg/l,mg/L,,suivi_qualite_brg_garde_hebdo,val_qual_brg_garde_hebdo,182,22,160,0,0,5.0000000000000001E-3,5.0000000000000001E-3,référence ABH non disponible,référence bibliographique non confirmée,MAPPED_BY_METIER_VARIANT,UNIT_OK,NO_REFERENCE,NEEDS_BIBLIO_VALIDATION,confirmer une plage de référence ou accepter sans seuil externe,,,
MIG-0064,Cl,Cl-,Cl | Cl- | Cl-(mg/l) | Cl-_IC,mg/L,mg/L,,mesures_qualite_barrages,val_qual_barr,153,153,0,0,1,2,2742,référence ABH non disponible,<= 250 (acceptabilité) mg/L,MAPPED_BY_METIER_VARIANT,UNIT_OK,SUSPECT_OUTLIER,QUARANTINE_BEFORE_MIGRATION,mettre en quarantaine,,,WHO — Chemical fact sheets: Chloride (https://cdn.who.int/media/docs/default-source/wash-documents/water-safety-and-quality/chemical-fact-sheets-2022/chloride-fact-sheet-2022.pdf)
MIG-0065,Cl,Cl-,Cl | Cl- | Cl-(mg/l) | Cl-_IC,mg/L,mg/L,,mesures_qualite_nappes,val_qual_nap,2624,2624,0,0,1,1,17581,référence ABH non disponible,<= 250 (acceptabilité) mg/L,MAPPED_BY_METIER_VARIANT,UNIT_OK,SUSPECT_OUTLIER,QUARANTINE_BEFORE_MIGRATION,mettre en quarantaine,,,WHO — Chemical fact sheets: Chloride (https://cdn.who.int/media/docs/default-source/wash-documents/water-safety-and-quality/chemical-fact-sheets-2022/chloride-fact-sheet-2022.pdf)
MIG-0066,Cl,Cl-,Cl | Cl- | Cl-(mg/l) | Cl-_IC,mg/L,mg/L,,mesures_qualite_rivieres,val_qual_riv,1889,1889,0,0,1,0.46300000000000002,16495,référence ABH non disponible,<= 250 (acceptabilité) mg/L,MAPPED_BY_METIER_VARIANT,UNIT_OK,SUSPECT_OUTLIER,QUARANTINE_BEFORE_MIGRATION,mettre en quarantaine,,,WHO — Chemical fact sheets: Chloride (https://cdn.who.int/media/docs/default-source/wash-documents/water-safety-and-quality/chemical-fact-sheets-2022/chloride-fact-sheet-2022.pdf)
